id,doi,trueSubject,predicted,isCorrect
doi:10.34894/YUXSZZ,doi:10.34894/YUXSZZ,['Social Sciences'],"['Arts and Humanities', 'Medicine, Health and Life Sciences', 'Social Sciences']",True
doi:10.7910/DVN/GA4G2F,doi:10.7910/DVN/GA4G2F,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.34894/B1YIKZ,doi:10.34894/B1YIKZ,"['Arts and Humanities', 'Earth and Environmental Sciences']","['Arts and Humanities', 'Earth and Environmental Sciences']",True
doi:10.7910/DVN/HP3YJW,doi:10.7910/DVN/HP3YJW,['Earth and Environmental Sciences'],"['Earth and Environmental Sciences', 'Physics']",True
doi:10.7910/DVN/Z6EN2I,doi:10.7910/DVN/Z6EN2I,"['Mathematical Sciences', 'Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
hdl:1902.4/GBSSLT1983-CQ872A,hdl:1902.4/GBSSLT1983-CQ872A,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/QWO84H,doi:10.7910/DVN/QWO84H,['Earth and Environmental Sciences'],['Earth and Environmental Sciences'],True
doi:10.7910/DVN/DFICRO,doi:10.7910/DVN/DFICRO,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/SPOKSM,doi:10.7910/DVN/SPOKSM,['Engineering'],"['Computer and Information Science', 'Engineering']",True
hdl:1902.4/GBSSLT68-CQ577,hdl:1902.4/GBSSLT68-CQ577,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/I9JSHV,doi:10.7910/DVN/I9JSHV,"['Business and Management', 'Social Sciences']",['Social Sciences'],True
doi:10.34894/GBEKCP,doi:10.34894/GBEKCP,"['Arts and Humanities', 'Earth and Environmental Sciences']","['Arts and Humanities', 'Earth and Environmental Sciences']",True
hdl:11529/10625,hdl:11529/10625,['Agricultural Sciences'],"['Agricultural Sciences', 'Earth and Environmental Sciences']",True
doi:10.7910/DVN/GNJTCD,doi:10.7910/DVN/GNJTCD,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/UBSEJQ,doi:10.7910/DVN/UBSEJQ,"['Law', 'Social Sciences']",['Law'],True
hdl:1902.4/USAIPOCNUS1999-9907034,hdl:1902.4/USAIPOCNUS1999-9907034,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USCA1995-04,hdl:1902.4/USCA1995-04,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/CZKIZS,doi:10.7910/DVN/CZKIZS,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/FSSROP,doi:10.7910/DVN/FSSROP,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USFM2014-051,hdl:1902.4/USFM2014-051,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/A0T1XF,doi:10.7910/DVN/A0T1XF,"['Arts and Humanities', 'Other']","['Arts and Humanities', 'Other']",True
doi:10.7910/DVN/IER14Q,doi:10.7910/DVN/IER14Q,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USCONNDPP2009-6774,hdl:1902.4/USCONNDPP2009-6774,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/WJX94,doi:10.7910/DVN/WJX94,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USAIPOSPPOS1954-930,hdl:1902.4/USAIPOSPPOS1954-930,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USBASR1956-B0019,hdl:1902.4/USBASR1956-B0019,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/UNCSKB,doi:10.7910/DVN/UNCSKB,"['Agricultural Sciences', 'Social Sciences']","['Agricultural Sciences', 'Social Sciences']",True
hdl:1902.4/USAIPO1950-0461,hdl:1902.4/USAIPO1950-0461,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/GA3MVL,doi:10.7910/DVN/GA3MVL,['Agricultural Sciences'],['Earth and Environmental Sciences'],False
doi:10.7910/DVN/UPFTLU,doi:10.7910/DVN/UPFTLU,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/UO9ABD,doi:10.7910/DVN/UO9ABD,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/EUYHYL,doi:10.7910/DVN/EUYHYL,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.34894/JAXNL8,doi:10.34894/JAXNL8,"['Arts and Humanities', 'Earth and Environmental Sciences']",['Arts and Humanities'],True
hdl:1902.4/MXOTAP1990-SOL20890,hdl:1902.4/MXOTAP1990-SOL20890,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/WX5885,doi:10.7910/DVN/WX5885,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.34894/1NEY0O,doi:10.34894/1NEY0O,"['Arts and Humanities', 'Earth and Environmental Sciences']","['Arts and Humanities', 'Earth and Environmental Sciences']",True
doi:10.34894/6AKZHX,doi:10.34894/6AKZHX,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/AZJ4XB,doi:10.7910/DVN/AZJ4XB,['Astronomy and Astrophysics'],"['Astronomy and Astrophysics', 'Earth and Environmental Sciences']",True
hdl:1902.4/USMISC2014-CCGA_L,hdl:1902.4/USMISC2014-CCGA_L,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/SOKY0C,doi:10.7910/DVN/SOKY0C,['Astronomy and Astrophysics'],['Astronomy and Astrophysics'],True
hdl:1902.4/GBBIPO1940-067,hdl:1902.4/GBBIPO1940-067,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/ZYOGCK,doi:10.7910/DVN/ZYOGCK,['Earth and Environmental Sciences'],['Earth and Environmental Sciences'],True
doi:10.7910/DVN/MHKRJN,doi:10.7910/DVN/MHKRJN,['Earth and Environmental Sciences'],"['Chemistry', 'Medicine, Health and Life Sciences', 'Physics']",False
doi:10.7910/DVN/PABP65,doi:10.7910/DVN/PABP65,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/DJTMJC,doi:10.7910/DVN/DJTMJC,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/BFSNCH,doi:10.7910/DVN/BFSNCH,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/IHQUYA,doi:10.7910/DVN/IHQUYA,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/0NDRHU,doi:10.7910/DVN/0NDRHU,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/GCKQYW,doi:10.7910/DVN/GCKQYW,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USAP2006-08US1,hdl:1902.4/USAP2006-08US1,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/4AKPWU,doi:10.7910/DVN/4AKPWU,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/DK5KN7,doi:10.7910/DVN/DK5KN7,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/BNZRVG,doi:10.7910/DVN/BNZRVG,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USABCWASH2002-885,hdl:1902.4/USABCWASH2002-885,['Social Sciences'],['Social Sciences'],True
doi:10.15139/S3/RR6XAV,doi:10.15139/S3/RR6XAV,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USAIPO1976-0949,hdl:1902.4/USAIPO1976-0949,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/F9DFPD,doi:10.7910/DVN/F9DFPD,['Agricultural Sciences'],['Agricultural Sciences'],True
doi:10.7910/DVN/UZV63Y,doi:10.7910/DVN/UZV63Y,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/D4HL6U,doi:10.7910/DVN/D4HL6U,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/KFVLK,doi:10.7910/DVN/KFVLK,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/FLOFTE,doi:10.7910/DVN/FLOFTE,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USABCWASH2004-953,hdl:1902.4/USABCWASH2004-953,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/7BLZBB,doi:10.7910/DVN/7BLZBB,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/2L1M9W,doi:10.7910/DVN/2L1M9W,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/EDCICD,doi:10.7910/DVN/EDCICD,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/SZISOP61-6216**,hdl:1902.4/SZISOP61-6216**,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/HYETXY,doi:10.7910/DVN/HYETXY,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
hdl:1902.4/USPSRA1997-INVESTORS,hdl:1902.4/USPSRA1997-INVESTORS,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/CGNXYA,doi:10.7910/DVN/CGNXYA,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USAIPOUSA2011-10,hdl:1902.4/USAIPOUSA2011-10,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/GBSSLT86-CQ031A,hdl:1902.4/GBSSLT86-CQ031A,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/GMDEMO1959-1029,hdl:1902.4/GMDEMO1959-1029,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/WZBWAW,doi:10.7910/DVN/WZBWAW,['Social Sciences'],['Arts and Humanities'],False
hdl:1902.4/FRSOFRES71-040206,hdl:1902.4/FRSOFRES71-040206,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USCBSNYT1998-98012D,hdl:1902.4/USCBSNYT1998-98012D,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/6OWSVP,doi:10.7910/DVN/6OWSVP,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/VUHHM,doi:10.7910/DVN/VUHHM,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/GBUSIA1989-I89087,hdl:1902.4/GBUSIA1989-I89087,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/IECZXC,doi:10.7910/DVN/IECZXC,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/QBOHG,doi:10.7910/DVN/QBOHG,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/UX1ID3,doi:10.7910/DVN/UX1ID3,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/FFSR6R,doi:10.7910/DVN/FFSR6R,['Engineering'],"['Computer and Information Science', 'Engineering']",True
doi:10.7910/DVN/AC89XZ,doi:10.7910/DVN/AC89XZ,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.34894/LW8ZNZ,doi:10.34894/LW8ZNZ,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/H9TKVB,doi:10.7910/DVN/H9TKVB,['Physics'],"['Arts and Humanities', 'Physics']",True
doi:10.21223/P3/HGAEAM,doi:10.21223/P3/HGAEAM,"['Agricultural Sciences', 'Medicine, Health and Life Sciences', 'Social Sciences']",['Agricultural Sciences'],True
doi:10.7910/DVN/G06UKL,doi:10.7910/DVN/G06UKL,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/9UVKTC,doi:10.7910/DVN/9UVKTC,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/W9IB3C,doi:10.7910/DVN/W9IB3C,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.34894/3SPCPE,doi:10.34894/3SPCPE,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/M8XX6Q,doi:10.7910/DVN/M8XX6Q,"['Agricultural Sciences', 'Social Sciences']","['Agricultural Sciences', 'Social Sciences']",True
hdl:1902.4/USMGAP1986-010,hdl:1902.4/USMGAP1986-010,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/LPMWSZ,doi:10.7910/DVN/LPMWSZ,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/GBSSLT62-CQ266,hdl:1902.4/GBSSLT62-CQ266,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/ELCF2B,doi:10.7910/DVN/ELCF2B,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/RR8OX2,doi:10.7910/DVN/RR8OX2,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/FTOR07,doi:10.7910/DVN/FTOR07,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/NAMOHV,doi:10.7910/DVN/NAMOHV,['Physics'],['Physics'],True
doi:10.7910/DVN/0BIGDK,doi:10.7910/DVN/0BIGDK,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/08L2RJ,doi:10.7910/DVN/08L2RJ,"['Law', 'Social Sciences']",['Law'],True
hdl:1902.4/FRUSIA1992-I92032,hdl:1902.4/FRUSIA1992-I92032,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/AVZ5PF,doi:10.7910/DVN/AVZ5PF,"['Engineering', 'Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences', 'Physics']",True
doi:10.7910/DVN/DGXXX0,doi:10.7910/DVN/DGXXX0,"['Computer and Information Science', 'Social Sciences']","['Computer and Information Science', 'Social Sciences']",True
hdl:11529/10548504,hdl:11529/10548504,['Agricultural Sciences'],['Agricultural Sciences'],True
hdl:1902.4/SPCIRES1995-0695,hdl:1902.4/SPCIRES1995-0695,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/UPEMWU,doi:10.7910/DVN/UPEMWU,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/MQWIHT,doi:10.7910/DVN/MQWIHT,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USLAT1996-376,hdl:1902.4/USLAT1996-376,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/GBHVLW,doi:10.7910/DVN/GBHVLW,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/TMVVDO,doi:10.7910/DVN/TMVVDO,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USMISCATS1999-NATLSEC31,hdl:1902.4/USMISCATS1999-NATLSEC31,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/SX1B0J,doi:10.7910/DVN/SX1B0J,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/HBQM6O,doi:10.7910/DVN/HBQM6O,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/GMDEMO1954-0075,hdl:1902.4/GMDEMO1954-0075,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USAIPOGNS2010-TR0923,hdl:1902.4/USAIPOGNS2010-TR0923,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/4NQLS2,doi:10.7910/DVN/4NQLS2,['Social Sciences'],"['Medicine, Health and Life Sciences', 'Social Sciences']",True
doi:10.7910/DVN/G8YFGQ,doi:10.7910/DVN/G8YFGQ,['N/A'],['Social Sciences'],False
doi:10.7910/DVN/2NVNSY,doi:10.7910/DVN/2NVNSY,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/IWIDO9,doi:10.7910/DVN/IWIDO9,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/6PTRF5,doi:10.7910/DVN/6PTRF5,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USMINN1990-OCT2,hdl:1902.4/USMINN1990-OCT2,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/NSODQX,doi:10.7910/DVN/NSODQX,['Arts and Humanities'],['Arts and Humanities'],True
hdl:11529/10271,hdl:11529/10271,['Agricultural Sciences'],['Agricultural Sciences'],True
doi:10.7910/DVN/AQW8O3,doi:10.7910/DVN/AQW8O3,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/SWJQZE,doi:10.7910/DVN/SWJQZE,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/YYU05L,doi:10.7910/DVN/YYU05L,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USAIPOGNS2005-50,hdl:1902.4/USAIPOGNS2005-50,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USRPRR1987-08,hdl:1902.4/USRPRR1987-08,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/24914,doi:10.7910/DVN/24914,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/COPVZV,doi:10.7910/DVN/COPVZV,"['Law', 'Social Sciences']",['Law'],True
doi:10.7910/DVN/ZNTZHX,doi:10.7910/DVN/ZNTZHX,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/0BPVCH,doi:10.7910/DVN/0BPVCH,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/BNAEDJ,doi:10.7910/DVN/BNAEDJ,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/GPWLUS,doi:10.7910/DVN/GPWLUS,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
hdl:1902.4/BRDIR1994-00374,hdl:1902.4/BRDIR1994-00374,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/RBY9CE,doi:10.7910/DVN/RBY9CE,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/VC2ASM,doi:10.7910/DVN/VC2ASM,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/H9AWNR,doi:10.7910/DVN/H9AWNR,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/YE6VMJ,doi:10.7910/DVN/YE6VMJ,"['Medicine, Health and Life Sciences', 'Social Sciences']",['Social Sciences'],True
hdl:1902.4/USAIPOSPGONEW1987-87120,hdl:1902.4/USAIPOSPGONEW1987-87120,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/QXCD4U,doi:10.7910/DVN/QXCD4U,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/Z6C0LC,doi:10.7910/DVN/Z6C0LC,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/JB1TDL,doi:10.7910/DVN/JB1TDL,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/0EOCBE,doi:10.7910/DVN/0EOCBE,"['Medicine, Health and Life Sciences', 'Social Sciences']","['Medicine, Health and Life Sciences', 'Social Sciences']",True
doi:10.7910/DVN/PWO5OP,doi:10.7910/DVN/PWO5OP,"['Medicine, Health and Life Sciences', 'Social Sciences']","['Medicine, Health and Life Sciences', 'Social Sciences']",True
doi:10.7910/DVN/I3NDYW,doi:10.7910/DVN/I3NDYW,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/XFHNKA,doi:10.7910/DVN/XFHNKA,['Astronomy and Astrophysics'],['Astronomy and Astrophysics'],True
doi:10.7910/DVN/KPFWLB,doi:10.7910/DVN/KPFWLB,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/OWYVP,doi:10.7910/DVN/OWYVP,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/VZDATOS1981-03,hdl:1902.4/VZDATOS1981-03,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/UJ0TI,doi:10.7910/DVN/UJ0TI,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USABC2008-1069,hdl:1902.4/USABC2008-1069,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/PDLJKU,doi:10.7910/DVN/PDLJKU,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/ITXC3S,doi:10.7910/DVN/ITXC3S,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USWASH1990-948F,hdl:1902.4/USWASH1990-948F,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/SCB4WC,doi:10.7910/DVN/SCB4WC,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/8ZJBLI,doi:10.7910/DVN/8ZJBLI,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/2SOXS0,doi:10.7910/DVN/2SOXS0,['Astronomy and Astrophysics'],['Astronomy and Astrophysics'],True
doi:10.7910/DVN/GAIR2P,doi:10.7910/DVN/GAIR2P,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/D0E5EM,doi:10.7910/DVN/D0E5EM,['Social Sciences'],['[ [Social Sciences'],False
doi:10.7910/DVN/2Z5E9W,doi:10.7910/DVN/2Z5E9W,['Social Sciences'],['Social Sciences'],True
doi:10.34894/JXHKQG,doi:10.34894/JXHKQG,"['Arts and Humanities', 'Earth and Environmental Sciences']","['Arts and Humanities', 'Earth and Environmental Sciences']",True
doi:10.7910/DVN/PZKWRT,doi:10.7910/DVN/PZKWRT,['Earth and Environmental Sciences'],['Earth and Environmental Sciences'],True
doi:10.7910/DVN/KRKBC,doi:10.7910/DVN/KRKBC,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/UPK2HN,doi:10.7910/DVN/UPK2HN,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/XTEJRE,doi:10.7910/DVN/XTEJRE,['Social Sciences'],"['Computer and Information Science', 'Medicine, Health and Life Sciences', 'Social Sciences']",True
doi:10.7910/DVN/BQSG98,doi:10.7910/DVN/BQSG98,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.18710/0JIEPQ,doi:10.18710/0JIEPQ,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/MYSUGX,doi:10.7910/DVN/MYSUGX,"['Law', 'Social Sciences']","['Law', 'Social Sciences']",True
doi:10.7910/DVN/WA2XMW,doi:10.7910/DVN/WA2XMW,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USSIENA2010-10BUNY,hdl:1902.4/USSIENA2010-10BUNY,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/JHSCDJ,doi:10.7910/DVN/JHSCDJ,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/BC2PWS,doi:10.7910/DVN/BC2PWS,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/5HMNTO,doi:10.7910/DVN/5HMNTO,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/RBQZVS,doi:10.7910/DVN/RBQZVS,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/BUXS2X,doi:10.7910/DVN/BUXS2X,"['Medicine, Health and Life Sciences']","['Medicine, Health and Life Sciences']",True
doi:10.7910/DVN/71CKTX,doi:10.7910/DVN/71CKTX,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USCBSNYT1983-PLANE,hdl:1902.4/USCBSNYT1983-PLANE,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/R1GZQT,doi:10.7910/DVN/R1GZQT,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/UB9LDI,doi:10.7910/DVN/UB9LDI,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/YZSZFY,doi:10.7910/DVN/YZSZFY,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/FKT1QZ,doi:10.7910/DVN/FKT1QZ,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/VT2GZY,doi:10.7910/DVN/VT2GZY,['Arts and Humanities'],['Arts and Humanities'],True
hdl:1902.4/USPSRA1999-POL012,hdl:1902.4/USPSRA1999-POL012,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/SQZRO2,doi:10.7910/DVN/SQZRO2,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/NVGV1N,doi:10.7910/DVN/NVGV1N,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/SASADA94-0040B,hdl:1902.4/SASADA94-0040B,['Social Sciences'],['Social Sciences'],True
hdl:1902.4/USRPRR1983-01,hdl:1902.4/USRPRR1983-01,['Social Sciences'],['Social Sciences'],True
doi:10.7910/DVN/P8J4LD,doi:10.7910/DVN/P8J4LD,['Arts and Humanities'],['Arts and Humanities'],True
doi:10.7910/DVN/4FGW6U,doi:10.7910/DVN/4FGW6U,['Arts and Humanities'],['Arts and Humanities'],True
