"dimension","value","id","coder","accepted","llm"
"spiritual punishment","low",1630306090503004163,3,"N","LLAMA2"
"feeling religious comfort","low",1630306090503004163,3,"N","LLAMA2"
"financial/material worry","low",1630306090503004163,3,"N","LLAMA2"
"feeling having a political voice","high",1630306090503004163,3,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1630306090503004163,3,"N","LLAMA2"
"describing smoking related health issues","low",1630306090503004163,3,"N","LLAMA2"
"describing drinking related health issues","low",1630306090503004163,3,"N","LLAMA2"
"describing health limitations","low",1630306090503004163,3,"N","LLAMA2"
"expressing empathy","high",1630306090503004163,3,"N","LLAMA2"
"resilience","medium",1630854950686261249,3,"Y","LLAMA2"
"vitality","high",1630854950686261249,3,"Y","LLAMA2"
"positive functioning","high",1630854950686261249,3,"Y","LLAMA2"
"expressing optimism","high",1630854950686261249,3,"Y","LLAMA2"
"expressing gratitude","high",1630854950686261249,3,"N","LLAMA2"
"belonging to society","medium",1630854950686261249,3,"Y","LLAMA2"
"feeling trusted","medium",1630854950686261249,3,"N","LLAMA2"
"balance in the various aspects of own life","medium",1630854950686261249,3,"Y","LLAMA2"
"promoting good","high",1630854950686261249,3,"Y","LLAMA2"
"expressing delayed gratification","medium",1630854950686261249,3,"N","LLAMA2"
"describing health limitations","medium",1630854950686261249,3,"N","LLAMA2"
"expressing empathy","high",1630854950686261249,3,"N","LLAMA2"
"happiness","high",1629049304332615681,3,"N","LLAMA2"
"life satisfaction","high",1629049304332615681,3,"N","LLAMA2"
"positive functioning","high",1629049304332615681,3,"Y","LLAMA2"
"expressing optimism","high",1629049304332615681,3,"Y","LLAMA2"
"purpose in life","high",1629049304332615681,3,"Y","LLAMA2"
"expressing altruism","high",1629049304332615681,3,"Y","LLAMA2"
"expressing gratitude","high",1629049304332615681,3,"Y","LLAMA2"
"belonging to society","medium",1629049304332615681,3,"Y","LLAMA2"
"expressing empathy","high",1629049304332615681,3,"Y","LLAMA2"
"happiness","low",1630495567800352768,3,"Y","LLAMA2"
"resilience","low",1630495567800352768,3,"Y","LLAMA2"
"self-esteem","low",1630495567800352768,3,"N","LLAMA2"
"life satisfaction","low",1630495567800352768,3,"Y","LLAMA2"
"fear of future","high",1630495567800352768,3,"Y","LLAMA2"
"vitality","low",1630495567800352768,3,"Y","LLAMA2"
"positive functioning","low",1630495567800352768,3,"Y","LLAMA2"
"expressing job satisfaction","low",1630495567800352768,3,"N","LLAMA2"
"expressing optimism","low",1630495567800352768,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1630495567800352768,3,"Y","LLAMA2"
"purpose in life","low",1630495567800352768,3,"Y","LLAMA2"
"depression","high",1630495567800352768,3,"N","LLAMA2"
"anxiety","high",1630495567800352768,3,"N","LLAMA2"
"suffering","high",1630495567800352768,3,"Y","LLAMA2"
"financial/material worry","low",1630495567800352768,3,"N","LLAMA2"
"life after death belief","medium",1630495567800352768,3,"N","LLAMA2"
"volunteering","low",1630495567800352768,3,"N","LLAMA2"
"charitable giving/helping","low",1630495567800352768,3,"N","LLAMA2"
"seeking for forgiveness","low",1630495567800352768,3,"N","LLAMA2"
"feeling having a political voice","low",1630495567800352768,3,"N","LLAMA2"
"expressing government approval","low",1630495567800352768,3,"N","LLAMA2"
"having hope","high",1630495567800352768,3,"N","LLAMA2"
"promoting good","medium",1630495567800352768,3,"N","LLAMA2"
"expressing delayed gratification","low",1630495567800352768,3,"N","LLAMA2"
"self-esteem","low",1628664394388316160,3,"N","LLAMA2"
"resilience","medium",1628664394388316160,3,"Y","LLAMA2"
"anxiety","high",1628664394388316160,3,"N","LLAMA2"
"quality of relationships","low",1628664394388316160,3,"Y","LLAMA2"
"balance in the various aspects of own life","medium",1628664394388316160,3,"Y","LLAMA2"
"mastery (ability, capability)","high",1628664394388316160,3,"Y","LLAMA2"
"seeking for forgiveness","low",1628664394388316160,3,"N","LLAMA2"
"having hope","medium",1628664394388316160,3,"N","LLAMA2"
"promoting good","high",1628664394388316160,3,"N","LLAMA2"
"expressing empathy","high",1628664394388316160,3,"N","LLAMA2"
"happiness","high",1628446467969908739,3,"Y","LLAMA2"
"vitality","medium",1628446467969908739,3,"N","LLAMA2"
"positive functioning","high",1628446467969908739,3,"Y","LLAMA2"
"loneliness","low",1628446467969908739,3,"N","LLAMA2"
"belonging to society","low",1628446467969908739,3,"N","LLAMA2"
"feeling trusted","low",1628446467969908739,3,"N","LLAMA2"
"mastery (ability, capability)","high",1628446467969908739,3,"Y","LLAMA2"
"perceiving discrimination","low",1628446467969908739,3,"N","LLAMA2"
"religious criticism","low",1628446467969908739,3,"N","LLAMA2"
"spiritual punishment","low",1628446467969908739,3,"N","LLAMA2"
"feeling religious comfort","low",1628446467969908739,3,"N","LLAMA2"
"happiness","high",1628446467969908739,3,"Y","LLAMA2"
"describing health limitations","low",1628446467969908739,3,"N","LLAMA2"
"expressing empathy","high",1628446467969908739,3,"N","LLAMA2"
"happiness","high",1626215908195844097,3,"Y","LLAMA2"
"self-esteem","high",1626215908195844097,3,"N","LLAMA2"
"positive functioning","high",1626215908195844097,3,"Y","LLAMA2"
"expressing optimism","high",1626215908195844097,3,"Y","LLAMA2"
"expressing gratitude","high",1626215908195844097,3,"Y","LLAMA2"
"mastery (ability, capability)","high",1626215908195844097,3,"Y","LLAMA2"
"quality of relationships","medium",1626215908195844097,3,"Y","LLAMA2"
"belonging to society","low",1626215908195844097,3,"N","LLAMA2"
"promoting good","high",1626215908195844097,3,"Y","LLAMA2"
"having hope","high",1626215908195844097,3,"Y","LLAMA2"
"having hope","high",1626215908195844097,3,"Y","LLAMA2"
"describing health limitations","low",1626215908195844097,3,"N","LLAMA2"
"expressing empathy","high",1626215908195844097,3,"Y","LLAMA2"
"self-esteem","high",1630852432983994370,3,"N","LLAMA2"
"resilience","high",1630852432983994370,3,"Y","LLAMA2"
"expressing optimism","high",1630852432983994370,3,"Y","LLAMA2"
"expressing altruism","high",1630852432983994370,3,"Y","LLAMA2"
"belonging to society","high",1630852432983994370,3,"Y","LLAMA2"
"feeling trusted","high",1630852432983994370,3,"N","LLAMA2"
"mastery (ability, capability)","high",1630852432983994370,3,"N","LLAMA2"
"balance in the various aspects of own life","medium",1630852432983994370,3,"N","LLAMA2"
"perceiving discrimination","low",1630852432983994370,3,"N","LLAMA2"
"religious criticism","low",1630852432983994370,3,"N","LLAMA2"
"financial/material worry","low",1630852432983994370,3,"N","LLAMA2"
"volunteering","high",1630852432983994370,3,"Y","LLAMA2"
"charitable giving/helping","high",1630852432983994370,3,"Y","LLAMA2"
"expressing government approval","high",1630852432983994370,3,"N","LLAMA2"
"having hope","high",1630852432983994370,3,"Y","LLAMA2"
"promoting good","high",1630852432983994370,3,"Y","LLAMA2"
"expressing empathy","high",1630852432983994370,3,"Y","LLAMA2"
"describing health limitations","low",1630852432983994370,3,"N","LLAMA2"
"happiness","high",1634151254308843520,3,"Y","LLAMA2"
"vitality","high",1634151254308843520,3,"Y","LLAMA2"
"positive functioning","high",1634151254308843520,3,"Y","LLAMA2"
"expressing optimism","high",1634151254308843520,3,"Y","LLAMA2"
"expressing gratitude","high",1634151254308843520,3,"N","LLAMA2"
"feeling loved by god","low",1634151254308843520,3,"N","LLAMA2"
"belief in god","medium",1634151254308843520,3,"N","LLAMA2"
"feeling having a political voice","high",1634151254308843520,3,"N","LLAMA2"
"expressing government approval","high",1634151254308843520,3,"N","LLAMA2"
"having hope","high",1634151254308843520,3,"Y","LLAMA2"
"happiness","high",1632036448131076097,3,"Y","LLAMA2"
"life satisfaction","high",1632036448131076097,3,"Y","LLAMA2"
"expressing gratitude","high",1632036448131076097,3,"Y","LLAMA2"
"belonging to society","medium",1632036448131076097,3,"Y","LLAMA2"
"feeling trusted","low",1632036448131076097,3,"N","LLAMA2"
"perceiving discrimination","low",1632036448131076097,3,"N","LLAMA2"
"spiritual punishment","low",1632036448131076097,3,"N","LLAMA2"
"feeling religious comfort","low",1632036448131076097,3,"N","LLAMA2"
"expressing empathy","high",1632036448131076097,3,"Y","LLAMA2"
"describing health limitations","low",1632036448131076097,3,"N","LLAMA2"
"happiness","low",1631791490476261379,3,"Y","LLAMA2"
"resilience","low",1631791490476261379,3,"N","LLAMA2"
"self-esteem","low",1631791490476261379,3,"N","LLAMA2"
"life satisfaction","low",1631791490476261379,3,"Y","LLAMA2"
"fear of future","high",1631791490476261379,3,"Y","LLAMA2"
"vitality","low",1631791490476261379,3,"Y","LLAMA2"
"having energy","low",1631791490476261379,3,"N","LLAMA2"
"positive functioning","low",1631791490476261379,3,"Y","LLAMA2"
"expressing job satisfaction","low",1631791490476261379,3,"N","LLAMA2"
"expressing optimism","low",1631791490476261379,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1631791490476261379,3,"N","LLAMA2"
"purpose in life","low",1631791490476261379,3,"N","LLAMA2"
"depression","high",1631791490476261379,3,"N","LLAMA2"
"anxiety","high",1631791490476261379,3,"N","LLAMA2"
"suffering","high",1631791490476261379,3,"N","LLAMA2"
"feeling pain","high",1631791490476261379,3,"N","LLAMA2"
"belonging to society","low",1631791490476261379,3,"Y","LLAMA2"
"feeling trusted","low",1631791490476261379,3,"N","LLAMA2"
"perceiving discrimination","medium",1631791490476261379,3,"Y","LLAMA2"
"religious criticism","high",1631791490476261379,3,"N","LLAMA2"
"financial/material worry","low",1631791490476261379,3,"N","LLAMA2"
"feeling having a political voice","medium",1631791490476261379,3,"N","LLAMA2"
"expressing government approval","low",1631791490476261379,3,"N","LLAMA2"
"having hope","low",1631791490476261379,3,"Y","LLAMA2"
"describing health limitations","low",1631791490476261379,3,"N","LLAMA2"
"expressing empathy","low",1631791490476261379,3,"Y","LLAMA2"
"happiness","low",1630043941998563329,3,"Y","LLAMA2"
"resilience","medium",1630043941998563329,3,"Y","LLAMA2"
"self-esteem","low",1630043941998563329,3,"N","LLAMA2"
"life satisfaction","low",1630043941998563329,3,"Y","LLAMA2"
"fear of future","high",1630043941998563329,3,"Y","LLAMA2"
"vitality","low",1630043941998563329,3,"N","LLAMA2"
"having energy","low",1630043941998563329,3,"N","LLAMA2"
"positive functioning","medium",1630043941998563329,3,"Y","LLAMA2"
"expressing job satisfaction","low",1630043941998563329,3,"N","LLAMA2"
"expressing optimism","low",1630043941998563329,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1630043941998563329,3,"Y","LLAMA2"
"purpose in life","low",1630043941998563329,3,"N","LLAMA2"
"depression","high",1630043941998563329,3,"N","LLAMA2"
"anxiety","medium",1630043941998563329,3,"Y","LLAMA2"
"suffering","high",1630043941998563329,3,"Y","LLAMA2"
"feeling pain","high",1630043941998563329,3,"Y","LLAMA2"
"balance in the various aspects of own life","low",1630043941998563329,3,"N","LLAMA2"
"perceiving discrimination","high",1630043941998563329,3,"Y","LLAMA2"
"feeling loved by god","low",1630043941998563329,3,"N","LLAMA2"
"belief in god","low",1630043941998563329,3,"N","LLAMA2"
"financial/material worry","high",1630043941998563329,3,"Y","LLAMA2"
"life after death belief","low",1630043941998563329,3,"N","LLAMA2"
"volunteering","low",1630043941998563329,3,"N","LLAMA2"
"charitable giving/helping","low",1630043941998563329,3,"N","LLAMA2"
"seeking for forgiveness","low",1630043941998563329,3,"N","LLAMA2"
"feeling having a political voice","medium",1630043941998563329,3,"N","LLAMA2"
"expressing government approval","high",1630043941998563329,3,"N","LLAMA2"
"having hope","high",1630043941998563329,3,"N","LLAMA2"
"promoting good","high",1630043941998563329,3,"Y","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1630043941998563329,3,"N","LLAMA2"
"describing smoking related health issues","medium",1630043941998563329,3,"N","LLAMA2"
"describing drinking related health issues","low",1630043941998563329,3,"N","LLAMA2"
"describing health limitations","medium",1630043941998563329,3,"Y","LLAMA2"
"expressing empathy","high",1630043941998563329,3,"Y","LLAMA2"
"resilience","low",1628541307105824773,3,"N","LLAMA2"
"happiness","low",1628541307105824773,3,"Y","LLAMA2"
"fear of future","high",1628541307105824773,3,"Y","LLAMA2"
"belonging to society","medium",1628541307105824773,3,"Y","LLAMA2"
"expressing altruism","low",1628541307105824773,3,"N","LLAMA2"
"perceiving discrimination","medium",1628541307105824773,3,"Y","LLAMA2"
"religious criticism","low",1628541307105824773,3,"N","LLAMA2"
"spiritual punishment","low",1628541307105824773,3,"N","LLAMA2"
"feeling having a political voice","high",1628541307105824773,3,"N","LLAMA2"
"expressing government approval","low",1628541307105824773,3,"N","LLAMA2"
"having hope","medium",1628541307105824773,3,"N","LLAMA2"
"promoting good","high",1628541307105824773,3,"N","LLAMA2"
"expressing empathy","high",1628541307105824773,3,"N","LLAMA2"
"describing health limitations","low",1628541307105824773,3,"N","LLAMA2"
"happiness","low",1633061553976033283,3,"Y","LLAMA2"
"vitality","low",1633061553976033283,3,"Y","LLAMA2"
"expressing optimism","low",1633061553976033283,3,"Y","LLAMA2"
"life satisfaction","low",1633061553976033283,3,"Y","LLAMA2"
"belonging to society","low",1633061553976033283,3,"Y","LLAMA2"
"feeling trusted","low",1633061553976033283,3,"N","LLAMA2"
"perceiving discrimination","medium",1633061553976033283,3,"N","LLAMA2"
"feeling having a political voice","low",1633061553976033283,3,"N","LLAMA2"
"having hope","low",1633061553976033283,3,"Y","LLAMA2"
"describing health limitations","medium",1633061553976033283,3,"Y","LLAMA2"
"expressing empathy","low",1633061553976033283,3,"N","LLAMA2"
"life satisfaction","low",1631948931813785600,1,"N","LLAMA2"
"happiness","low",1631948931813785600,1,"N","LLAMA2"
"resilience","low",1631948931813785600,1,"N","LLAMA2"
"self-esteem","low",1631948931813785600,1,"N","LLAMA2"
"fear of future","high",1631948931813785600,1,"N","LLAMA2"
"balance in the various aspects of own life","medium",1631948931813785600,1,"N","LLAMA2"
"expressing gratitude","high",1631948931813785600,1,"Y","LLAMA2"
"feeling trusted","low",1631948931813785600,1,"N","LLAMA2"
"mastery (ability, capability)","low",1631948931813785600,1,"N","LLAMA2"
"perceiving discrimination","low",1631948931813785600,1,"N","LLAMA2"
"religious criticism","low",1631948931813785600,1,"N","LLAMA2"
"financial/material worry","high",1631948931813785600,1,"Y","LLAMA2"
"charitable giving/helping","medium",1631948931813785600,1,"N","LLAMA2"
"having hope","high",1631948931813785600,1,"Y","LLAMA2"
"promoting good","medium",1631948931813785600,1,"N","LLAMA2"
"happiness","low",1633220583566589954,1,"N","LLAMA2"
"resilience","low",1633220583566589954,1,"N","LLAMA2"
"self-esteem","low",1633220583566589954,1,"N","LLAMA2"
"life satisfaction","low",1633220583566589954,1,"N","LLAMA2"
"fear of future","high",1633220583566589954,1,"Y","LLAMA2"
"vitality","low",1633220583566589954,1,"N","LLAMA2"
"having energy","low",1633220583566589954,1,"N","LLAMA2"
"positive functioning","low",1633220583566589954,1,"N","LLAMA2"
"expressing job satisfaction","low",1633220583566589954,1,"N","LLAMA2"
"expressing optimism","low",1633220583566589954,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1633220583566589954,1,"N","LLAMA2"
"purpose in life","low",1633220583566589954,1,"N","LLAMA2"
"expressing altruism","low",1633220583566589954,1,"N","LLAMA2"
"loneliness","high",1633220583566589954,1,"N","LLAMA2"
"quality of relationships","medium",1633220583566589954,1,"N","LLAMA2"
"belonging to society","low",1633220583566589954,1,"N","LLAMA2"
"expressing gratitude","low",1633220583566589954,1,"N","LLAMA2"
"expressing trust","low",1633220583566589954,1,"Y","LLAMA2"
"feeling trusted","low",1633220583566589954,1,"N","LLAMA2"
"balance in the various aspects of own life","medium",1633220583566589954,1,"N","LLAMA2"
"mastery (ability, capability)","low",1633220583566589954,1,"N","LLAMA2"
"perceiving discrimination","high",1633220583566589954,1,"N","LLAMA2"
"feeling loved by god","low",1633220583566589954,1,"N","LLAMA2"
"belief in god","low",1633220583566589954,1,"N","LLAMA2"
"religious criticism","low",1633220583566589954,1,"N","LLAMA2"
"spiritual punishment","low",1633220583566589954,1,"N","LLAMA2"
"feeling religious comfort","low",1633220583566589954,1,"N","LLAMA2"
"financial/material worry","low",1633220583566589954,1,"N","LLAMA2"
"expressing government approval","high",1633220583566589954,1,"N","LLAMA2"
"feeling having a political voice","high",1633220583566589954,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1633220583566589954,1,"N","LLAMA2"
"describing smoking related health issues","high",1633220583566589954,1,"Y","LLAMA2"
"happiness","high",1628523745022251009,1,"Y","LLAMA2"
"life satisfaction","high",1628523745022251009,1,"Y","LLAMA2"
"expressing job satisfaction","high",1628523745022251009,1,"Y","LLAMA2"
"expressing optimism","high",1628523745022251009,1,"Y","LLAMA2"
"belonging to society","high",1628523745022251009,1,"N","LLAMA2"
"feeling loved by god","high",1628523745022251009,1,"N","LLAMA2"
"expressing gratitude","high",1628523745022251009,1,"Y","LLAMA2"
"happiness","high",1626372146741055489,1,"Y","LLAMA2"
"resilience","medium",1626372146741055489,1,"N","LLAMA2"
"self-esteem","high",1626372146741055489,1,"Y","LLAMA2"
"life satisfaction","high",1626372146741055489,1,"Y","LLAMA2"
"fear of future","low",1626372146741055489,1,"N","LLAMA2"
"vitality","high",1626372146741055489,1,"Y","LLAMA2"
"having energy","high",1626372146741055489,1,"Y","LLAMA2"
"positive functioning","high",1626372146741055489,1,"N","LLAMA2"
"expressing job satisfaction","low",1626372146741055489,1,"N","LLAMA2"
"expressing optimism","high",1626372146741055489,1,"Y","LLAMA2"
"peace with thoughts and feelings","high",1626372146741055489,1,"N","LLAMA2"
"purpose in life","high",1626372146741055489,1,"Y","LLAMA2"
"feeling loved by god","high",1626372146741055489,1,"N","LLAMA2"
"belief in god","high",1626372146741055489,1,"N","LLAMA2"
"expressing gratitude","high",1626372146741055489,1,"N","LLAMA2"
"having hope","high",1626372146741055489,1,"N","LLAMA2"
"expressing government approval","medium",1626372146741055489,1,"N","LLAMA2"
"promoting good","high",1626372146741055489,1,"N","LLAMA2"
"happiness","low",1629475832111714305,1,"Y","LLAMA2"
"resilience","medium",1629475832111714305,1,"Y","LLAMA2"
"self-esteem","low",1629475832111714305,1,"N","LLAMA2"
"life satisfaction","low",1629475832111714305,1,"N","LLAMA2"
"fear of future","medium",1629475832111714305,1,"N","LLAMA2"
"vitality","low",1629475832111714305,1,"N","LLAMA2"
"having energy","low",1629475832111714305,1,"N","LLAMA2"
"positive functioning","low",1629475832111714305,1,"N","LLAMA2"
"expressing job satisfaction","low",1629475832111714305,1,"N","LLAMA2"
"expressing optimism","low",1629475832111714305,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1629475832111714305,1,"N","LLAMA2"
"purpose in life","low",1629475832111714305,1,"N","LLAMA2"
"depression","high",1629475832111714305,1,"N","LLAMA2"
"anxiety","high",1629475832111714305,1,"N","LLAMA2"
"suffering","high",1629475832111714305,1,"N","LLAMA2"
"feeling pain","high",1629475832111714305,1,"N","LLAMA2"
"expressing altruism","low",1629475832111714305,1,"N","LLAMA2"
"loneliness","low",1629475832111714305,1,"N","LLAMA2"
"quality of relationships","low",1629475832111714305,1,"N","LLAMA2"
"belonging to society","low",1629475832111714305,1,"N","LLAMA2"
"expressing gratitude","low",1629475832111714305,1,"N","LLAMA2"
"expressing trust","low",1629475832111714305,1,"Y","LLAMA2"
"feeling trusted","low",1629475832111714305,1,"N","LLAMA2"
"balance in the various aspects of own life","low",1629475832111714305,1,"N","LLAMA2"
"mastery (ability, capability)","low",1629475832111714305,1,"N","LLAMA2"
"perceiving discrimination","low",1629475832111714305,1,"N","LLAMA2"
"feeling loved by god","low",1629475832111714305,1,"N","LLAMA2"
"belief in god","low",1629475832111714305,1,"N","LLAMA2"
"religious criticism","high",1629475832111714305,1,"N","LLAMA2"
"spiritual punishment","low",1629475832111714305,1,"N","LLAMA2"
"feeling religious comfort","low",1629475832111714305,1,"N","LLAMA2"
"expressing government approval","high",1629475832111714305,1,"Y","LLAMA2"
"feeling having a political voice","high",1629475832111714305,1,"Y","LLAMA2"
"promoting good","high",1629475832111714305,1,"N","LLAMA2"
"expressing delayed gratification","low",1629475832111714305,1,"N","LLAMA2"
"expressing empathy","low",1629475832111714305,1,"N","LLAMA2"
"expressing empathy","low",1629475832111714305,1,"N","LLAMA2"
"happiness","high",1631604616952414208,1,"N","LLAMA2"
"positive functioning","high",1631604616952414208,1,"N","LLAMA2"
"expressing optimism","high",1631604616952414208,1,"N","LLAMA2"
"feeling having a political voice","medium",1631604616952414208,1,"N","LLAMA2"
"expressing government approval","high",1631604616952414208,1,"N","LLAMA2"
"describing health limitations","medium",1631604616952414208,1,"N","LLAMA2"
"expressing empathy","high",1631604616952414208,1,"Y","LLAMA2"
"resilience","medium",1628772230032228353,2,"N","LLAMA2"
"self-esteem","low",1628772230032228353,2,"Y","LLAMA2"
"life satisfaction","low",1628772230032228353,2,"Y","LLAMA2"
"fear of future","high",1628772230032228353,2,"Y","LLAMA2"
"vitality","low",1628772230032228353,2,"N","LLAMA2"
"having energy","low",1628772230032228353,2,"N","LLAMA2"
"positive functioning","low",1628772230032228353,2,"N","LLAMA2"
"expressing job satisfaction","low",1628772230032228353,2,"N","LLAMA2"
"expressing optimism","low",1628772230032228353,2,"Y","LLAMA2"
"peace with thoughts and feelings","low",1628772230032228353,2,"Y","LLAMA2"
"purpose in life","low",1628772230032228353,2,"Y","LLAMA2"
"depression","high",1628772230032228353,2,"Y","LLAMA2"
"anxiety","high",1628772230032228353,2,"Y","LLAMA2"
"suffering","high",1628772230032228353,2,"Y","LLAMA2"
"feeling pain","high",1628772230032228353,2,"N","LLAMA2"
"expressing gratitude","high",1628772230032228353,2,"N","LLAMA2"
"belonging to society","low",1628772230032228353,2,"Y","LLAMA2"
"quality of relationships","medium",1628772230032228353,2,"N","LLAMA2"
"mastery (ability, capability)","high",1628772230032228353,2,"N","LLAMA2"
"feeling loved by god","high",1628772230032228353,2,"N","LLAMA2"
"financial/material worry","low",1628772230032228353,2,"N","LLAMA2"
"life after death belief","high",1628772230032228353,2,"N","LLAMA2"
"having hope","high",1628772230032228353,2,"N","LLAMA2"
"describing health limitations","high",1628772230032228353,2,"N","LLAMA2"
"expressing empathy","high",1628772230032228353,2,"N","LLAMA2"
"happiness","high",1609382563797139456,2,"N","LLAMA2"
"vitality","high",1609382563797139456,2,"N","LLAMA2"
"positive functioning","high",1609382563797139456,2,"Y","LLAMA2"
"expressing optimism","high",1609382563797139456,2,"N","LLAMA2"
"belonging to society","high",1609382563797139456,2,"Y","LLAMA2"
"feeling trusted","low",1609382563797139456,2,"N","LLAMA2"
"balance in the various aspects of own life","medium",1609382563797139456,2,"N","LLAMA2"
"mastery (ability, capability)","medium",1609382563797139456,2,"N","LLAMA2"
"feeling having a political voice","high",1609382563797139456,2,"N","LLAMA2"
"promoting good","high",1609382563797139456,2,"Y","LLAMA2"
"expressing delayed gratification","low",1609382563797139456,2,"N","LLAMA2"
"describing drinking related health issues","medium",1609382563797139456,2,"N","LLAMA2"
"expressing empathy","high",1609382563797139456,2,"N","LLAMA2"
"happiness","high",1629280288629989376,2,"Y","LLAMA2"
"expressing optimism","high",1629280288629989376,2,"Y","LLAMA2"
"life satisfaction","medium",1629280288629989376,2,"N","LLAMA2"
"resilience","medium",1629280288629989376,2,"N","LLAMA2"
"positive functioning","high",1629280288629989376,2,"N","LLAMA2"
"vitality","high",1629280288629989376,2,"Y","LLAMA2"
"expressing gratitude","high",1629280288629989376,2,"N","LLAMA2"
"belonging to society","low",1629280288629989376,2,"N","LLAMA2"
"feeling trusted","low",1629280288629989376,2,"N","LLAMA2"
"promoting good","high",1629280288629989376,2,"N","LLAMA2"
"describing health limitations","low",1629280288629989376,2,"N","LLAMA2"
"expressing empathy","high",1629280288629989376,2,"N","LLAMA2"
"happiness","high",1627629808837439488,2,"Y","LLAMA2"
"life satisfaction","high",1627629808837439488,2,"Y","LLAMA2"
"belonging to society","low",1627629808837439488,2,"N","LLAMA2"
"quality of relationships","medium",1627629808837439488,2,"N","LLAMA2"
