"dimension","acc","f1","prec","recall","spec","sens","balAcc","model","bpar","ft","type","n","ntext","accD","accI","FN","FP","jac","jac2","ham","fname"
"quality of relationships",0.869281045751634,0.148936170212766,0.265822784810127,0.103448275862069,0.964482547458665,0.103448275862069,0.533965411660367,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"belonging to society",0.647058823529412,0.151832460732984,0.0863095238095238,0.630434782608696,0.647935779816514,0.630434782608696,0.639185281212605,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing gratitude",0.87363834422658,0.376344086021505,0.29045643153527,0.534351145038168,0.899706744868035,0.534351145038168,0.717028944953102,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing trust",0.608932461873638,0.261316872427984,0.160963244613435,0.693989071038251,0.599516031457955,0.693989071038251,0.646752551248103,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"feeling trusted",0.844226579520697,NA,0,NA,0.844226579520697,NA,NA,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"balance in the various aspects of own life",0.736928104575163,0.190954773869347,0.112648221343874,0.626373626373626,0.74269340974212,0.626373626373626,0.684533518057873,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"mastery (ability, capability)",0.840958605664488,0.151162790697674,0.155688622754491,0.146892655367232,0.91500904159132,0.146892655367232,0.530950848479276,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"perceiving discrimination",0.901416122004357,0.0621761658031088,0.4,0.0337078651685393,0.994571773220748,0.0337078651685393,0.514139819194644,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"feeling loved by god",0.97875816993464,0.170212765957447,0.105263157894737,0.444444444444444,0.981390257252326,0.444444444444444,0.712917350848385,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"belief in god",0.969498910675381,0.333333333333333,0.229508196721311,0.608695652173913,0.97407611693326,0.608695652173913,0.791385884553586,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"religious criticism",0.980936819172113,0.186046511627907,0.5,0.114285714285714,0.997779011660189,0.114285714285714,0.556032362972952,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"spiritual punishment",0.999455337690632,NA,NA,0,1,0,0.5,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"feeling religious comfort",0.974945533769063,0.08,0.0434782608695652,0.5,0.975982532751092,0.5,0.737991266375546,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"financial/material worry",0.814814814814815,0.397163120567376,0.333333333333333,0.491228070175439,0.860696517412935,0.491228070175439,0.675962293794187,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"life after death belief",0.982570806100218,0.157894736842105,0.230769230769231,0.12,0.994478188845942,0.12,0.557239094422971,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"volunteering",0.984749455337691,0.3,0.5,0.214285714285714,0.996681415929204,0.214285714285714,0.605483565107459,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"charitable giving/helping",0.96078431372549,0.25,0.181818181818182,0.4,0.970099667774086,0.4,0.685049833887043,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"seeking for forgiveness",0.999455337690632,NA,NA,0,1,0,0.5,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"feeling having a political voice",0.885076252723312,0.677862595419847,0.596774193548387,0.784452296819788,0.903412749517064,0.784452296819788,0.843932523168426,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing government approval",0.892701525054466,0.0295566502463054,0.0150753768844221,0.75,0.893013100436681,0.75,0.821506550218341,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"having hope",0.770697167755991,0.317666126418152,0.241975308641975,0.462264150943396,0.810960591133005,0.462264150943396,0.636612371038201,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"promoting good",0.829520697167756,0.123249299719888,0.268292682926829,0.08,0.961563100576553,0.08,0.520781550288277,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing delayed gratification",0.884531590413943,0.0782608695652174,0.0447761194029851,0.310344827586207,0.893746541228556,0.310344827586207,0.602045684407381,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"ptsd (post-traumatic stress disorder)",0.958605664488017,NA,NA,0,1,0,0.5,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"describing smoking related health issues",0.996732026143791,0.7,0.875,0.583333333333333,0.999451754385965,0.583333333333333,0.791392543859649,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"describing drinking related health issues",0.9880174291939,0.65625,0.84,0.538461538461538,0.997774067890929,0.538461538461538,0.768117803176234,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"describing health limitations",0.942265795206972,0.459183673469388,0.357142857142857,0.642857142857143,0.954133635334088,0.642857142857143,0.798495389095616,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"expressing empathy",0.643246187363834,0.473895582329317,0.383615084525358,0.619747899159664,0.651470588235294,0.619747899159664,0.635609243697479,"GPT4",1760,"NO","FULL",84456,1836,0.864817182911812,0.859607369517855,0.104326513213981,0.0308563038742067,0.178804351264108,0.846544291475455,0.135182817088188,"classified-chatgpt4"
"happiness",0.54747568318666,0.582656984194789,0.461122379986477,0.791183294663573,0.38550501156515,0.791183294663573,0.588344153114362,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"resilience",0.908754052802223,0.0199004975124378,0.125,0.0108108108108108,0.99290780141844,0.0108108108108108,0.501859306114625,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"self-esteem",0.924038906901343,0.0888888888888889,0.258064516129032,0.0536912751677852,0.988557213930348,0.0536912751677852,0.521124244549067,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"life satisfaction",0.730430754979157,0.12874251497006,0.122507122507123,0.135646687697161,0.832790445168295,0.135646687697161,0.484218566432728,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"fear of future",0.791106993978694,0.196078431372549,0.125858123569794,0.443548387096774,0.812285012285012,0.443548387096774,0.627916699690893,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"vitality",0.92820750347383,0.0127388535031847,0.0454545454545455,0.00740740740740741,0.989624505928854,0.00740740740740741,0.498515956668131,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"having energy",0.693376563223715,0.0264705882352941,0.0148760330578512,0.12,0.714011516314779,0.12,0.41700575815739,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"positive functioning",0.828161185734136,NA,NA,0,1,0,0.5,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing job satisfaction",1,NA,NA,NA,1,NA,NA,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing optimism",0.466882816118573,0.38874137015401,0.277904328018223,0.646643109540636,0.4030131826742,0.646643109540636,0.524828146107418,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"peace with thoughts and feelings",0.868920796665123,0.0471380471380471,0.0454545454545455,0.048951048951049,0.927083333333333,0.048951048951049,0.488017191142191,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"purpose in life",0.967577582213988,0.146341463414634,0.171428571428571,0.127659574468085,0.98626893939394,0.127659574468085,0.556964256931012,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"depression",0.710050949513664,0.110795454545455,0.0615141955835962,0.557142857142857,0.715174724748684,0.557142857142857,0.63615879094577,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"anxiety",0.720704029643353,0.127351664254703,0.0732113144758735,0.488888888888889,0.730787820202997,0.488888888888889,0.609838354545943,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"suffering",0.994905048633627,NA,0,NA,0.994905048633627,NA,NA,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"feeling pain",0.903195924038907,0.193050193050193,0.231481481481481,0.165562913907285,0.958665338645418,0.165562913907285,0.562114126276352,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing altruism",0.851783232978231,0.330543933054393,0.473053892215569,0.254019292604502,0.952380952380952,0.254019292604502,0.603200122492727,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"loneliness",0.930523390458546,0.157303370786517,0.135922330097087,0.186666666666667,0.957293666026871,0.186666666666667,0.571980166346769,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"quality of relationships",0.887911069939787,0.0902255639097744,0.151898734177215,0.0641711229946524,0.966024340770791,0.0641711229946524,0.515097731882722,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"belonging to society",0.631310792033349,0.138528138528139,0.0803011292346299,0.503937007874016,0.639271653543307,0.503937007874016,0.571604330708661,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing gratitude",0.870310328855952,0.369369369369369,0.322834645669291,0.431578947368421,0.912646013204672,0.431578947368421,0.672112480286547,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing trust",0.600741083835109,0.19589552238806,0.11437908496732,0.681818181818182,0.594513715710723,0.681818181818182,0.638165948764452,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"feeling trusted",0.845761926817971,0.0619718309859155,0.0336391437308868,0.392857142857143,0.851712810886908,0.392857142857143,0.622284976872025,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"balance in the various aspects of own life",0.726725335803613,0.26980198019802,0.197463768115942,0.42578125,0.767209668943773,0.42578125,0.596495459471887,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"mastery (ability, capability)",0.842982862436313,0.137404580152672,0.138461538461538,0.136363636363636,0.914329423763386,0.136363636363636,0.525346530063511,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"perceiving discrimination",0.935618341824919,0.0915032679738562,0.466666666666667,0.0507246376811594,0.996041563582385,0.0507246376811594,0.523383100631772,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"feeling loved by god",0.982399258916165,0.24,0.157894736842105,0.5,0.985095482068002,0.5,0.742547741034001,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"belief in god",0.974988420565076,0.372093023255814,0.258064516129032,0.666666666666667,0.978454332552693,0.666666666666667,0.82256049960968,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"religious criticism",0.994441871236684,0.25,0.25,0.25,0.99721059972106,0.25,0.62360529986053,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"spiritual punishment",1,NA,NA,NA,1,NA,NA,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"feeling religious comfort",0.977304307549792,NA,0,0,0.978210477515067,0,0.489105238757534,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"financial/material worry",0.824455766558592,0.275334608030593,0.17910447761194,0.59504132231405,0.838076545632974,0.59504132231405,0.716558933973512,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"life after death belief",0.993052339045855,0.117647058823529,0.0769230769230769,0.25,0.994431554524362,0.25,0.622215777262181,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"volunteering",0.993515516442798,0.3,0.25,0.375,0.99581589958159,0.375,0.685407949790795,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"charitable giving/helping",0.973135710977304,0.42,0.313432835820896,0.636363636363636,0.978363123236124,0.636363636363636,0.80736337979988,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"seeking for forgiveness",0.999536822603057,NA,NA,0,1,0,0.5,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"feeling having a political voice",0.85780453913849,0.558273381294964,0.494897959183673,0.64026402640264,0.893318965517241,0.64026402640264,0.766791495959941,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing government approval",0.906438165817508,0.0900900900900901,0.0490196078431373,0.555555555555556,0.909388136384867,0.555555555555556,0.732471845970211,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"having hope",0.75081056044465,0.288359788359788,0.248291571753986,0.34384858044164,0.820846905537459,0.34384858044164,0.58234774298955,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"promoting good",0.870310328855952,0.156626506024096,0.285714285714286,0.107883817427386,0.966110531803962,0.107883817427386,0.536997174615674,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"expressing delayed gratification",0.893932376100046,0.0337552742616034,0.0179372197309417,0.285714285714286,0.897902097902098,0.285714285714286,0.591808191808192,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"ptsd (post-traumatic stress disorder)",0.997220935618342,NA,NA,0,1,0,0.5,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"describing smoking related health issues",0.996757758221399,0.461538461538462,0.333333333333333,0.75,0.997215777262181,0.75,0.87360788863109,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"describing drinking related health issues",0.985178323297823,0.333333333333333,0.258064516129032,0.470588235294118,0.989262371615313,0.470588235294118,0.729925303454715,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
"describing health limitations",0.941176470588235,0.265895953757225,0.17037037037037,0.605263157894737,0.947194719471947,0.605263157894737,0.776228938683342,"LLAMA2",13,"YES","FULL",99314,2159,0.862033550154057,0.855961898624565,0.0984251968503937,0.0395412529955495,0.17290110469506,0.84401762045076,0.137966449845943,"classified-L2-13B-FT"
