dimension,value,id
 expressing gratitude ,high,1629495770951950336
 happiness ,high,1632188747948216321
 expressing altruism ,medium,1632188747948216321
 promoting good ,high,1632188747948216321
 purpose in life ,high,1630520810413645825
 belief in god ,high,1630520810413645825
 life after death belief ,high,1630520810413645825
 happiness ,medium,1631022451051069442
self-esteem ,medium,1631022451051069442
 quality of relationships ,medium,1631022451051069442
 promoting good ,high,1631022451051069442
resilience ,low,1632088076511002624
 happiness ,high,1630015850660130817
 expressing altruism ,high,1630015850660130817
 charitable giving/helping ,high,1630015850660130817
 happiness ,high,1632279447297564673
 feeling having a political voice ,high,1630342028151103489
 happiness ,high,1631149098194681856
 expressing gratitude ,high,1631149098194681856
self-esteem ,high,1626710765158952960
 vitality ,high,1626710765158952960
 happiness ,high,1626710765158952960
 expressing optimism ,high,1626710765158952960
resilience ,high,1626710765158952960
 having energy ,high,1626710765158952960
 capability) ,high,1626710765158952960
 happiness ,high,1632148181978079232
 belonging to society ,low,1627686961765810177
 happiness ,high,1627352122105925633
 expressing gratitude ,high,1627352122105925633
 happiness ,medium,1630284250107789316
 belonging to society ,medium,1629708579937689603
 happiness ,medium,1629296233767469058
resilience ,high,1629296233767469058
self-esteem ,high,1629296233767469058
 positive functioning ,high,1629296233767469058
 expressing optimism ,high,1629296233767469058
 balance in the various aspects of own life ,high,1629296233767469058
 capability) ,high,1629296233767469058
 having hope ,high,1629296233767469058
resilience ,high,1630772934662045696
 balance in the various aspects of own life ,medium,1630772934662045696
 expressing delayed gratification ,high,1630772934662045696
 happiness ,high,1609369133824761858
 life satisfaction ,high,1609369133824761858
 positive functioning ,high,1609369133824761858
 expressing optimism ,high,1609369133824761858
 peace with thoughts and feelings ,high,1609369133824761858
 belonging to society ,high,1609369133824761858
 balance in the various aspects of own life ,high,1609369133824761858
 capability) ,high,1609369133824761858
 having hope ,high,1609369133824761858
 promoting good ,high,1609369133824761858
 depression ,high,1627874682723508225
 anxiety ,high,1627874682723508225
 bipolar disorder ,high,1627874682723508225
 happiness ,high,1630704026919792640
 expressing job satisfaction ,high,1630704026919792640
 expressing optimism ,high,1630704026919792640
 balance in the various aspects of own life ,high,1630704026919792640
 expressing gratitude ,medium,1630704026919792640
 having hope ,high,1630704026919792640
 fear of future ,medium,1626286393386213378
 perceiving discrimination ,high,1626286393386213378
 happiness ,high,1631237287697580033
 expressing optimism ,high,1631237287697580033
 expressing gratitude ,high,1631237287697580033
 having hope ,high,1631237287697580033
 promoting good ,high,1631237287697580033
 expressing empathy ,high,1631237287697580033
 expressing altruism ,high,1628720789754195969
 happiness ,low,1634257543487782913
 life satisfaction ,low,1634257543487782913
 fear of future ,high,1634257543487782913
 vitality ,low,1634257543487782913
 having energy ,low,1634257543487782913
 positive functioning ,low,1634257543487782913
 expressing optimism ,low,1634257543487782913
 peace with thoughts and feelings ,low,1634257543487782913
 belonging to society ,low,1634257543487782913
 perceiving discrimination ,medium,1634257543487782913
 financial/material worry ,high,1634257543487782913
 happiness ,high,1626246796031758338
 expressing gratitude ,high,1626246796031758338
 happiness ,high,1627420184188157952
 expressing empathy ,high,1627420184188157952
 expressing trust ,low,1632972656629927938
suffering ,high,1626703836055314433
 perceiving discrimination ,high,1626703836055314433
resilience ,medium,1633687698044248064
 life satisfaction ,low,1633687698044248064
 fear of future ,high,1633687698044248064
 vitality ,low,1633687698044248064
 having energy ,low,1633687698044248064
 positive functioning ,low,1633687698044248064
 expressing optimism ,low,1633687698044248064
 peace with thoughts and feelings ,low,1633687698044248064
 depression ,high,1633687698044248064
 anxiety ,high,1633687698044248064
suffering ,high,1633687698044248064
 belonging to society ,low,1633687698044248064
 balance in the various aspects of own life ,low,1633687698044248064
 capability) ,low,1633687698044248064
 feeling having a political voice ,medium,1633687698044248064
 having hope ,high,1633687698044248064
 promoting good ,high,1633687698044248064
 expressing empathy ,high,1633687698044248064
 anxiety ,high,1631200268489740288
 expressing trust ,low,1631200268489740288
resilience ,high,1629222970521419781
 balance in the various aspects of own life ,high,1629222970521419781
 feeling having a political voice ,high,1629126323330220040
 expressing job satisfaction ,low,1626267770680737792
 expressing optimism ,low,1626267770680737792
 quality of relationships ,low,1626267770680737792
 belonging to society ,low,1626267770680737792
 feeling trusted ,low,1626267770680737792
 perceiving discrimination ,high,1626267770680737792
 happiness ,high,1629496908728225795
 having hope ,medium,1629496908728225795
 expressing optimism ,high,1631221633414320129
 expressing trust ,medium,1631221633414320129
 feeling having a political voice ,high,1631221633414320129
 happiness ,high,1627117675989147648
 promoting good ,high,1627117675989147648
self-esteem ,low,1630919928701235200
 life satisfaction ,low,1630919928701235200
 balance in the various aspects of own life ,low,1630919928701235200
 describing health limitations ,high,1630919928701235200
 expressing altruism ,high,1628524461216632832
 quality of relationships ,low,1628271282109251586
 happiness ,high,1633651350671179776
resilience ,high,1633651350671179776
self-esteem ,high,1633651350671179776
 life satisfaction ,high,1633651350671179776
 positive functioning ,high,1633651350671179776
 expressing optimism ,high,1633651350671179776
 balance in the various aspects of own life ,medium,1633651350671179776
 capability) ,high,1633651350671179776
 having hope ,high,1633651350671179776
 promoting good ,high,1633651350671179776
 belonging to society ,high,1629458813945274368
 fear of future ,high,1626389429156814849
 feeling having a political voice ,high,1626389429156814849
 happiness ,medium,1630557693860786176
 life satisfaction ,medium,1630557693860786176
 positive functioning ,high,1630557693860786176
 expressing optimism ,high,1630557693860786176
 belonging to society ,high,1630557693860786176
 balance in the various aspects of own life ,medium,1630557693860786176
 capability) ,high,1630557693860786176
 having hope ,high,1630557693860786176
 promoting good ,high,1630557693860786176
 expressing empathy ,high,1630557693860786176
 capability) ,high,1629272414579494913
self-esteem ,high,1628125948452212753
resilience ,high,1628125948452212753
 life satisfaction ,high,1628125948452212753
 positive functioning ,high,1628125948452212753
 expressing optimism ,high,1628125948452212753
 balance in the various aspects of own life ,high,1628125948452212753
 having hope ,high,1628125948452212753
 perceiving discrimination ,high,1628025016179740676
 life satisfaction ,low,1633628378900078593
 happiness ,low,1633628378900078593
resilience ,low,1633628378900078593
 depression ,high,1633628378900078593
 anxiety ,high,1633628378900078593
suffering ,high,1633628378900078593
 describing health limitations ,high,1633628378900078593
self-esteem ,medium,1630168765550718977
 capability) ,medium,1630168765550718977
 happiness ,high,1633154159586209798
 expressing empathy ,high,1633154159586209798
 vitality ,high,1626146003500912643
 expressing altruism ,high,1626146003500912643
 promoting good ,high,1626146003500912643
self-esteem ,low,1632720401997479936
 quality of relationships ,low,1632720401997479936
 expressing optimism ,high,1627292791532290051
 having hope ,high,1627292791532290051
 fear of future ,high,1630581885972652032
 anxiety ,high,1630581885972652032
 quality of relationships ,low,1630581885972652032
 feeling loved by god ,high,1630581885972652032
 belief in god ,high,1630581885972652032
spiritual punishment ,high,1630581885972652032
 feeling religious comfort ,high,1630581885972652032
 having hope ,high,1630581885972652032
 promoting good ,high,1630581885972652032
 perceiving discrimination ,medium,1631389656846573627
 expressing empathy ,high,1629622410348462084
 happiness ,high,1633250048820510726
 expressing trust ,medium,1633250048820510726
 vitality ,high,1628522677034971143
 positive functioning ,high,1628522677034971143
 expressing optimism ,high,1628522677034971143
 balance in the various aspects of own life ,medium,1628522677034971143
 capability) ,high,1628522677034971143
 having hope ,high,1628522677034971143
 promoting good ,high,1628522677034971143
 happiness ,high,1627543794684944385
 happiness ,low,1632863664666443778
 expressing empathy ,high,1632863664666443778
 expressing altruism ,high,1629412508779057153
 promoting good ,high,1629412508779057153
 describing health limitations ,high,1629412508779057153
 happiness ,high,1634166396450926595
 expressing optimism ,high,1634166396450926595
 belonging to society ,high,1634166396450926595
 expressing gratitude ,high,1634166396450926595
 having hope ,high,1634166396450926595
 depression ,low,1630629372884312066
 purpose in life ,high,1633843146080792578
 quality of relationships ,high,1633843146080792578
 promoting good ,high,1633843146080792578
 depression ,high,1626013179695308800
 perceiving discrimination ,high,1626013179695308800
 feeling having a political voice ,high,1626013179695308800
 happiness ,high,1626292159178739712
 expressing altruism ,high,1626292159178739712
 promoting good ,high,1626292159178739712
 financial/material worry ,high,1633132138903007235
 expressing altruism ,medium,1631424472191475713
 having hope ,medium,1631424472191475713
 anxiety ,medium,1631157296326639616
 balance in the various aspects of own life ,low,1631157296326639616
 fear of future ,high,1629730455313342464
 perceiving discrimination ,high,1629730455313342464
 fear of future ,high,1627385961675100160
 financial/material worry ,high,1627385961675100160
 feeling having a political voice ,high,1630545313487282178
 happiness ,high,1626755308788805632
 quality of relationships ,high,1626755308788805632
 happiness ,high,1627358524408844290
 vitality ,high,1627358524408844290
 having hope ,high,1627358524408844290
 happiness ,high,1632738616039317505
 expressing gratitude ,high,1632738616039317505
 quality of relationships ,low,1625653256557940738
 having energy ,high,1626139608697241601
 expressing altruism ,high,1626139608697241601
 quality of relationships ,low,1627839043462479872
 feeling having a political voice ,high,1627839043462479872
 feeling having a political voice ,high,1632033512554475520
 happiness ,high,1628165227685777413
 life satisfaction ,high,1628165227685777413
 positive functioning ,high,1628165227685777413
 expressing job satisfaction ,high,1628165227685777413
 expressing optimism ,high,1628165227685777413
 balance in the various aspects of own life ,high,1628165227685777413
 belonging to society ,medium,1628165227685777413
 expressing empathy ,high,1628165227685777413
 happiness ,high,1630032392680243200
 positive functioning ,high,1630032392680243200
 expressing optimism ,high,1630032392680243200
 describing health limitations ,high,1630032392680243200
 happiness ,high,1625981383725154304
self-esteem ,high,1625981383725154304
 life satisfaction ,medium,1625981383725154304
 positive functioning ,high,1625981383725154304
 expressing optimism ,high,1625981383725154304
 balance in the various aspects of own life ,high,1625981383725154304
 capability) ,high,1625981383725154304
 financial/material worry ,low,1625981383725154304
 promoting good ,medium,1625981383725154304
 happiness ,low,1625966872171618305
 life satisfaction ,low,1625966872171618305
 fear of future ,high,1625966872171618305
 vitality ,low,1625966872171618305
 having energy ,low,1625966872171618305
 positive functioning ,low,1625966872171618305
 expressing optimism ,low,1625966872171618305
 peace with thoughts and feelings ,low,1625966872171618305
 perceiving discrimination ,high,1625966872171618305
 belonging to society ,low,1625966872171618305
 feeling having a political voice ,high,1625966872171618305
self-esteem ,high,1631800641294041091
 happiness ,high,1631800641294041091
 expressing optimism ,high,1631800641294041091
 life satisfaction ,high,1631800641294041091
 expressing empathy ,high,1631800641294041091
 expressing trust ,low,1631773217902788609
 expressing empathy ,high,1631861202803458048
 happiness ,high,1625830732798078976
 peace with thoughts and feelings ,high,1625830732798078976
 belonging to society ,low,1625830732798078976
 loneliness ,low,1625830732798078976
 promoting good ,high,1625830732798078976
 having energy ,high,1627945614536282112
 expressing delayed gratification ,high,1627945614536282112
 happiness ,low,1625834366642552832
 life satisfaction ,low,1625834366642552832
 fear of future ,high,1625834366642552832
 vitality ,low,1625834366642552832
 having energy ,low,1625834366642552832
 positive functioning ,low,1625834366642552832
 expressing optimism ,low,1625834366642552832
 peace with thoughts and feelings ,low,1625834366642552832
suffering ,high,1625834366642552832
 belonging to society ,low,1625834366642552832
 perceiving discrimination ,medium,1625834366642552832
 financial/material worry ,high,1625834366642552832
 describing smoking related health issues ,high,1631722699746680858
 expressing optimism ,high,1632691270392107013
 having hope ,high,1632691270392107013
resilience ,medium,1627906514106318849
 depression ,high,1627906514106318849
 quality of relationships ,medium,1627906514106318849
 expressing empathy ,high,1627906514106318849
 life satisfaction ,low,1632042103080378370
 happiness ,low,1632042103080378370
 vitality ,low,1632042103080378370
 having energy ,low,1632042103080378370
 positive functioning ,low,1632042103080378370
 expressing optimism ,low,1632042103080378370
 peace with thoughts and feelings ,low,1632042103080378370
 belonging to society ,low,1632042103080378370
 happiness ,low,1632042103080378370
 belief in god ,high,1627918549288120321
 having hope ,high,1627918549288120321
suffering ,high,1626817981681479680
 describing health limitations ,high,1626817981681479680
 belief in god ,high,1629010081948880896
 having hope ,high,1629010081948880896
 expressing altruism ,high,1630830725782962176
 expressing empathy ,high,1630830725782962176
resilience ,high,1633950818847059968
 quality of relationships ,low,1633950818847059968
 happiness ,high,1626038100068556800
 expressing gratitude ,high,1626038100068556800
 happiness ,high,1626719323296514049
 quality of relationships ,high,1626719323296514049
 having hope ,high,1626719323296514049
resilience ,high,1631451313576857607
 positive functioning ,high,1631451313576857607
 expressing optimism ,high,1631451313576857607
 peace with thoughts and feelings ,medium,1631451313576857607
 belonging to society ,high,1631451313576857607
 having hope ,high,1631451313576857607
 promoting good ,high,1631451313576857607
 expressing empathy ,high,1631451313576857607
 happiness ,medium,1629819503180652544
 balance in the various aspects of own life ,high,1629819503180652544
 having hope ,high,1629819503180652544
resilience ,high,1628643475016110082
 positive functioning ,high,1628643475016110082
 happiness ,medium,1628643475016110082
 belonging to society ,high,1628643475016110082
 feeling trusted ,medium,1628643475016110082
 balance in the various aspects of own life ,medium,1628643475016110082
 promoting good ,high,1628643475016110082
 expressing empathy ,high,1628643475016110082
self-esteem ,high,1627284823864737792
 happiness ,high,1627284823864737792
 positive functioning ,high,1627284823864737792
 expressing optimism ,high,1627284823864737792
 balance in the various aspects of own life ,high,1627284823864737792
 having hope ,high,1627284823864737792
 happiness ,high,1632626042165919744
 expressing altruism ,high,1632626042165919744
 promoting good ,high,1632626042165919744
 happiness ,high,1626372146741055489
 expressing optimism ,high,1626372146741055489
 positive functioning ,high,1626372146741055489
 life satisfaction ,high,1626372146741055489
 expressing gratitude ,high,1626372146741055489
 having hope ,high,1626372146741055489
 fear of future ,high,1632761977532448769
 anxiety ,high,1632761977532448769
suffering ,high,1632761977532448769
 describing drinking related health issues ,high,1632761977532448769
 happiness ,high,1629927726395056130
 happiness ,high,1631816550960312322
 belonging to society ,high,1631816550960312322
 happiness ,high,1626890600493580288
 life satisfaction ,high,1626890600493580288
 positive functioning ,high,1626890600493580288
 expressing optimism ,high,1626890600493580288
 balance in the various aspects of own life ,high,1626890600493580288
 expressing gratitude ,high,1626890600493580288
 expressing empathy ,high,1626890600493580288
self-esteem ,high,1609367356060454913
 positive functioning ,high,1609367356060454913
 expressing optimism ,high,1609367356060454913
 capability) ,high,1609367356060454913
 happiness ,high,1630106597111332870
 belonging to society ,high,1630106597111332870
self-esteem ,high,1630085890956750849
 happiness ,high,1630085890956750849
 expressing optimism ,high,1630085890956750849
 life satisfaction ,high,1630085890956750849
 positive functioning ,high,1630085890956750849
 expressing gratitude ,high,1630085890956750849
 having hope ,high,1630085890956750849
 anxiety ,high,1625774723517874176
 quality of relationships ,low,1625774723517874176
resilience ,high,1625777632720699393
 quality of relationships ,high,1625777632720699393
 promoting good ,high,1625777632720699393
resilience ,high,1627334724552388609
self-esteem ,high,1627334724552388609
 life satisfaction ,high,1627334724552388609
 positive functioning ,high,1627334724552388609
 expressing optimism ,high,1627334724552388609
 belonging to society ,high,1627334724552388609
 expressing trust ,high,1627334724552388609
 having hope ,high,1627334724552388609
 expressing trust ,medium,1631841252718043137
 feeling having a political voice ,high,1629869375002931206
 happiness ,high,1625856250570240002
 expressing optimism ,high,1625856250570240002
 having hope ,high,1625856250570240002
 expressing empathy ,low,1626716278860955651
 happiness ,high,1627319521894621184
 capability) ,high,1627319521894621184
 lifestyle ,high,1627319521894621184
self-esteem ,medium,1627966741455273990
 quality of relationships ,low,1627966741455273990
 expressing delayed gratification ,medium,1627966741455273990
 feeling having a political voice ,high,1629429576987451392
resilience ,high,1627229224070176768
 having hope ,medium,1627229224070176768
 expressing job satisfaction ,high,1631018780770877441
 expressing gratitude ,high,1631018780770877441
 expressing government approval ,high,1631018780770877441
resilience ,medium,1630352745864794112
 expressing trust ,low,1630352745864794112
 promoting good ,high,1630352745864794112
 anxiety ,high,1631299260669935616
 perceiving discrimination ,high,1631299260669935616
 financial/material worry ,high,1631299260669935616
 happiness ,high,1630368320917569538
 having hope ,low,1628763802471743488
 happiness ,high,1629188151964225536
resilience ,medium,1629999067538542592
 capability) ,high,1629999067538542592
 happiness ,high,1632187098861121538
 quality of relationships ,high,1632187098861121538
resilience ,high,1626032512521707521
self-esteem ,medium,1626032512521707521
 life satisfaction ,low,1626032512521707521
 fear of future ,high,1626032512521707521
 vitality ,low,1626032512521707521
 having energy ,low,1626032512521707521
 positive functioning ,low,1626032512521707521
 expressing optimism ,low,1626032512521707521
 peace with thoughts and feelings ,low,1626032512521707521
 purpose in life ,medium,1626032512521707521
 balance in the various aspects of own life ,low,1626032512521707521
 capability) ,low,1626032512521707521
 having hope ,high,1626032512521707521
 promoting good ,high,1626032512521707521
 expressing empathy ,medium,1626032512521707521
self-esteem ,high,1631678082431033344
 capability) ,high,1631678082431033344
 having hope ,high,1631678082431033344
 happiness ,high,1631082584120913920
 quality of relationships ,high,1631082584120913920
 belief in god ,high,1629540827914465281
 feeling having a political voice ,high,1629540827914465281
 expressing altruism ,low,1630799291882020865
 happiness ,high,1627649649623416835
 positive functioning ,high,1627649649623416835
 belonging to society ,high,1627649649623416835
 expressing empathy ,high,1627649649623416835
 happiness ,high,1625876771966005249
 expressing gratitude ,high,1625876771966005249
 feeling having a political voice ,high,1632167748171169792
 happiness ,medium,1631172223061966849
 expressing optimism ,high,1632107028574527488
 positive functioning ,high,1632107028574527488
 capability) ,high,1632107028574527488
 expressing optimism ,high,1630368381806182403
 belonging to society ,high,1630368381806182403
 feeling having a political voice ,high,1630368381806182403
 belief in god ,high,1632974552094367744
 expressing altruism ,medium,1630121000112119809
resilience ,high,1632266448424017920
 positive functioning ,high,1632266448424017920
