dimension,value,id
 financial/material worry ,high,1625847777644408833
 happiness ,high,1626536686967455744
 vitality ,high,1626536686967455744
 positive functioning ,high,1626536686967455744
 expressing optimism ,high,1626536686967455744
 balance in the various aspects of own life ,high,1626536686967455744
 having hope ,high,1626536686967455744
 anxiety ,high,1631399991137665024
 quality of relationships ,medium,1631399991137665024
 expressing optimism ,medium,1628812832178335745
 fear of future ,high,1627658946382123008
 perceiving discrimination ,high,1627658946382123008
 financial/material worry ,high,1627658946382123008
 happiness ,high,1626642283985801218
 expressing loyalty ,high,1626642283985801218
 happiness ,high,1626929295338754048
 vitality ,high,1626929295338754048
 expressing optimism ,high,1626929295338754048
 belonging to society ,high,1626929295338754048
 expressing empathy ,high,1626929295338754048
 happiness ,low,1630447018546962432
 expressing optimism ,low,1630447018546962432
 peace with thoughts and feelings ,low,1630447018546962432
 depression ,high,1630447018546962432
 anxiety ,high,1630447018546962432
suffering ,high,1630447018546962432
 feeling pain ,high,1630447018546962432
 belonging to society ,low,1630447018546962432
 perceiving discrimination ,high,1630447018546962432
self-esteem ,low,1628877111804002304
 expressing trust ,low,1628877111804002304
resilience ,high,1626529324558852097
 expressing optimism ,high,1626529324558852097
 expressing gratitude ,high,1626529324558852097
 having hope ,high,1626529324558852097
 promoting good ,high,1626529324558852097
 expressing empathy ,high,1626529324558852097
 balance in the various aspects of own life ,low,1634312215481204738
 quality of relationships ,medium,1632392925983416321
 happiness ,high,1631214500157480965
 expressing altruism ,medium,1631214500157480965
 having hope ,high,1631214500157480965
 feeling pain ,medium,1631599106392039424
 expressing empathy ,high,1631599106392039424
 feeling having a political voice ,medium,1629839123258261504
 happiness ,low,1632740036956377088
resilience ,low,1632740036956377088
 life satisfaction ,low,1632740036956377088
 fear of future ,high,1632740036956377088
 vitality ,low,1632740036956377088
 having energy ,low,1632740036956377088
 positive functioning ,low,1632740036956377088
 expressing optimism ,low,1632740036956377088
 peace with thoughts and feelings ,low,1632740036956377088
 purpose in life ,low,1632740036956377088
 depression ,high,1632740036956377088
 anxiety ,high,1632740036956377088
suffering ,high,1632740036956377088
 belonging to society ,low,1632740036956377088
 quality of relationships ,low,1632740036956377088
 balance in the various aspects of own life ,low,1632740036956377088
 capability) ,low,1632740036956377088
 perceiving discrimination ,high,1632740036956377088
 feeling having a political voice ,high,1632740036956377088
 expressing empathy ,high,1632740036956377088
 happiness ,low,1626067799117377536
resilience ,medium,1626067799117377536
 life satisfaction ,low,1626067799117377536
 fear of future ,high,1626067799117377536
 vitality ,low,1626067799117377536
 having energy ,low,1626067799117377536
 positive functioning ,low,1626067799117377536
 expressing optimism ,low,1626067799117377536
 peace with thoughts and feelings ,low,1626067799117377536
 depression ,high,1626067799117377536
 anxiety ,high,1626067799117377536
suffering ,high,1626067799117377536
 balance in the various aspects of own life ,low,1626067799117377536
 perceiving discrimination ,medium,1626067799117377536
 describing health limitations ,high,1626067799117377536
 quality of relationships ,medium,1625709694407917569
 loneliness ,high,1631313702116003841
 life satisfaction ,low,1629852478064803841
 fear of future ,high,1629852478064803841
 expressing optimism ,low,1629852478064803841
 peace with thoughts and feelings ,low,1629852478064803841
 depression ,high,1629852478064803841
 anxiety ,high,1629852478064803841
suffering ,high,1629852478064803841
 feeling pain ,high,1629852478064803841
 belonging to society ,low,1629852478064803841
 balance in the various aspects of own life ,low,1629852478064803841
 capability) ,low,1629852478064803841
 having hope ,low,1629852478064803841
 promoting good ,medium,1629852478064803841
 expressing empathy ,low,1629852478064803841
 happiness ,high,1630007044349521921
 quality of relationships ,medium,1630007044349521921
 loneliness ,high,1632273926897139719
 happiness ,medium,1628921574651838467
 balance in the various aspects of own life ,medium,1628921574651838467
 promoting good ,high,1628921574651838467
 expressing optimism ,low,1631241486988894208
 belonging to society ,low,1631241486988894208
 feeling trusted ,low,1631241486988894208
 perceiving discrimination ,medium,1631241486988894208
self-esteem ,high,1628574399820361728
 balance in the various aspects of own life ,medium,1627058013969481730
 describing health limitations ,high,1627058013969481730
 happiness ,low,1629473195903336451
 life satisfaction ,low,1629473195903336451
 fear of future ,high,1629473195903336451
 vitality ,low,1629473195903336451
 having energy ,low,1629473195903336451
 positive functioning ,low,1629473195903336451
 expressing optimism ,low,1629473195903336451
 peace with thoughts and feelings ,low,1629473195903336451
 depression ,high,1629473195903336451
 anxiety ,high,1629473195903336451
suffering ,high,1629473195903336451
 balance in the various aspects of own life ,low,1629473195903336451
 happiness ,high,1630842587505475584
 belonging to society ,high,1630842587505475584
 happiness ,medium,1631836299635093504
self-esteem ,medium,1631836299635093504
 life satisfaction ,low,1631836299635093504
 fear of future ,high,1631836299635093504
 vitality ,low,1631836299635093504
 having energy ,low,1631836299635093504
 positive functioning ,low,1631836299635093504
 expressing optimism ,low,1631836299635093504
 peace with thoughts and feelings ,low,1631836299635093504
 depression ,high,1631836299635093504
 anxiety ,high,1631836299635093504
suffering ,high,1631836299635093504
 balance in the various aspects of own life ,low,1631836299635093504
 describing health limitations ,medium,1631836299635093504
 quality of relationships ,low,1628158760689573889
 expressing optimism ,medium,1627759110081970182
 happiness ,high,1631083244987744257
resilience ,high,1631083244987744257
self-esteem ,high,1631083244987744257
 life satisfaction ,high,1631083244987744257
 vitality ,high,1631083244987744257
 having energy ,high,1631083244987744257
 positive functioning ,high,1631083244987744257
 expressing optimism ,high,1631083244987744257
 peace with thoughts and feelings ,high,1631083244987744257
 purpose in life ,high,1631083244987744257
 balance in the various aspects of own life ,medium,1631083244987744257
 capability) ,high,1631083244987744257
 having hope ,high,1631083244987744257
 promoting good ,high,1631083244987744257
 happiness ,high,1627783231134113792
 expressing optimism ,high,1632866383770931201
 having hope ,high,1632866383770931201
 happiness ,high,1632342928709304322
 positive functioning ,high,1632342928709304322
 expressing optimism ,high,1632342928709304322
 belonging to society ,high,1632342928709304322
 expressing gratitude ,high,1632342928709304322
 feeling loved by god ,high,1632342928709304322
 belief in god ,high,1632342928709304322
 having hope ,high,1632342928709304322
 promoting good ,high,1632342928709304322
 expressing empathy ,high,1632342928709304322
 quality of relationships ,medium,1631110565878722561
 happiness ,high,1628748755171254273
 expressing optimism ,high,1630547048184307713
 having hope ,high,1630547048184307713
 happiness ,high,1625737282387845122
 expressing altruism ,high,1625737282387845122
 promoting good ,high,1625737282387845122
 expressing empathy ,high,1625737282387845122
 expressing trust ,low,1628330198805491713
 happiness ,high,1629862939934195721
 expressing gratitude ,high,1629862939934195721
resilience ,high,1631643694834110471
 capability) ,high,1631643694834110471
 belonging to society ,low,1609355163101429761
 expressing empathy ,low,1609355163101429761
 happiness ,high,1633785590578655232
 expressing altruism ,medium,1633785590578655232
 happiness ,high,1628584774561370126
 happiness ,low,1633782002221547520
self-esteem ,low,1633782002221547520
 life satisfaction ,low,1633782002221547520
 vitality ,low,1633782002221547520
 having energy ,low,1633782002221547520
 positive functioning ,low,1633782002221547520
 peace with thoughts and feelings ,low,1633782002221547520
 perceiving discrimination ,medium,1633782002221547520
 describing health limitations ,medium,1633782002221547520
 belonging to society ,medium,1625897547205328896
 feeling having a political voice ,medium,1625905665737621504
 expressing optimism ,high,1625704252097064962
 belonging to society ,high,1625704252097064962
 expressing gratitude ,medium,1625704252097064962
 charitable giving/helping ,high,1625704252097064962
 happiness ,high,1628558087715012608
 promoting good ,high,1628558087715012608
 happiness ,high,1629196498473713665
 expressing gratitude ,high,1629196498473713665
 fear of future ,high,1626761342656090116
 belief in god ,high,1626761342656090116
self-esteem ,high,1609361577659998214
 capability) ,high,1609361577659998214
 life satisfaction ,low,1625984095007154182
 loneliness ,high,1625984095007154182
 happiness ,medium,1633765259096780801
 vitality ,high,1633765259096780801
 quality of relationships ,low,1633765259096780801
 expressing optimism ,high,1629496703102615557
 capability) ,high,1629496703102615557
 quality of relationships ,medium,1628601516314726400
 happiness ,high,1625892663407902720
 quality of relationships ,high,1625892663407902720
 happiness ,high,1628427872179310598
 quality of relationships ,high,1628427872179310598
resilience ,medium,1633786683341565952
 expressing empathy ,high,1633786683341565952
 purpose in life ,high,1630827093939347457
 belonging to society ,high,1630827093939347457
 promoting good ,high,1630827093939347457
 happiness ,high,1625799307033993217
 quality of relationships ,high,1625799307033993217
 happiness ,medium,1626955746368798721
 life satisfaction ,medium,1626955746368798721
 vitality ,high,1626955746368798721
 having energy ,high,1626955746368798721
 positive functioning ,high,1626955746368798721
 expressing optimism ,high,1626955746368798721
 balance in the various aspects of own life ,medium,1626955746368798721
 belonging to society ,medium,1626955746368798721
 expressing gratitude ,high,1626955746368798721
 having hope ,high,1626955746368798721
 promoting good ,medium,1626955746368798721
 expressing empathy ,high,1626955746368798721
 happiness ,high,1630065633479249920
 anxiety ,high,1627764294958841857
 perceiving discrimination ,high,1627764294958841857
 perceiving discrimination ,high,1630614156289228816
 feeling having a political voice ,medium,1630614156289228816
 happiness ,high,1632667455154692097
self-esteem ,high,1632667455154692097
 life satisfaction ,high,1632667455154692097
 positive functioning ,high,1632667455154692097
 expressing optimism ,high,1632667455154692097
 balance in the various aspects of own life ,high,1632667455154692097
 capability) ,high,1632667455154692097
 belonging to society ,medium,1632667455154692097
 feeling trusted ,high,1632667455154692097
 having hope ,high,1632667455154692097
 promoting good ,high,1632667455154692097
 expressing empathy ,high,1632667455154692097
 capability) ,high,1630327512688467969
 expressing job satisfaction ,low,1632432023347294210
 capability) ,high,1630565534851842049
resilience ,medium,1629864801429069825
 capability) ,low,1629864801429069825
 happiness ,high,1627823242281877504
 balance in the various aspects of own life ,medium,1627823242281877504
 quality of relationships ,low,1629692482215718912
 happiness ,low,1632505422186967040
 life satisfaction ,low,1632505422186967040
 fear of future ,high,1632505422186967040
 vitality ,low,1632505422186967040
 having energy ,low,1632505422186967040
 positive functioning ,low,1632505422186967040
 expressing optimism ,low,1632505422186967040
 peace with thoughts and feelings ,low,1632505422186967040
 belonging to society ,low,1632505422186967040
 perceiving discrimination ,medium,1632505422186967040
 describing health limitations ,medium,1632505422186967040
resilience ,medium,1629965643217813512
 balance in the various aspects of own life ,high,1629965643217813512
 quality of relationships ,medium,1632081191150006273
 happiness ,medium,1628340865784578051
 quality of relationships ,low,1628340865784578051
 happiness ,high,1632254482829692929
 life satisfaction ,high,1632254482829692929
 positive functioning ,high,1632254482829692929
 expressing optimism ,high,1632254482829692929
 having hope ,high,1632254482829692929
 quality of relationships ,low,1630842781412343809
 happiness ,low,1630966862132527105
resilience ,medium,1630966862132527105
 life satisfaction ,low,1630966862132527105
 fear of future ,high,1630966862132527105
 vitality ,low,1630966862132527105
 having energy ,low,1630966862132527105
 positive functioning ,low,1630966862132527105
 expressing optimism ,low,1630966862132527105
 peace with thoughts and feelings ,low,1630966862132527105
 describing health limitations ,high,1630966862132527105
 expressing optimism ,low,1629545616526172160
 belonging to society ,low,1629545616526172160
self-esteem ,low,1626023668328300547
resilience ,low,1626023668328300547
 positive functioning ,low,1626023668328300547
 expressing optimism ,low,1626023668328300547
 balance in the various aspects of own life ,low,1626023668328300547
 capability) ,low,1626023668328300547
 balance in the various aspects of own life ,high,1626144723093028868
 expressing trust ,low,1627093362573717504
 feeling having a political voice ,medium,1627093362573717504
 happiness ,high,1629302599655587840
 quality of relationships ,high,1629302599655587840
 life satisfaction ,high,1627251541504626688
 happiness ,high,1627251541504626688
 expressing optimism ,high,1627251541504626688
 positive functioning ,high,1627251541504626688
 belonging to society ,high,1627251541504626688
 balance in the various aspects of own life ,high,1627251541504626688
 expressing gratitude ,high,1627251541504626688
 having hope ,high,1627251541504626688
 promoting good ,high,1627251541504626688
 happiness ,high,1632450066672758785
 happiness ,high,1630568614792159234
 positive functioning ,high,1630568614792159234
 expressing optimism ,high,1630568614792159234
 belonging to society ,high,1630568614792159234
 having hope ,high,1630568614792159234
 happiness ,low,1609380037223907329
 life satisfaction ,low,1609380037223907329
 fear of future ,high,1609380037223907329
 vitality ,low,1609380037223907329
 having energy ,low,1609380037223907329
 positive functioning ,low,1609380037223907329
 peace with thoughts and feelings ,low,1609380037223907329
 purpose in life ,low,1609380037223907329
 belonging to society ,low,1609380037223907329
religious criticism ,high,1609380037223907329
 happiness ,high,1630061021854572544
 positive functioning ,high,1630061021854572544
 belief in god ,high,1630061021854572544
 feeling loved by god ,high,1630061021854572544
 having hope ,high,1626449240263372803
 fear of future ,high,1626719992967307265
 financial/material worry ,high,1626719992967307265
 happiness ,high,1627726991523778564
resilience ,medium,1627726991523778564
self-esteem ,medium,1627726991523778564
 life satisfaction ,medium,1627726991523778564
 positive functioning ,high,1627726991523778564
 expressing optimism ,high,1627726991523778564
 peace with thoughts and feelings ,high,1627726991523778564
 purpose in life ,medium,1627726991523778564
 expressing gratitude ,high,1627726991523778564
 belonging to society ,medium,1627726991523778564
 feeling trusted ,medium,1627726991523778564
 having hope ,high,1627726991523778564
 promoting good ,high,1627726991523778564
 expressing empathy ,high,1627726991523778564
 expressing optimism ,low,1632499370984701952
 belonging to society ,low,1632499370984701952
 describing health limitations ,medium,1632499370984701952
 quality of relationships ,low,1628617005304623104
 happiness ,high,1627024124353576960
resilience ,high,1627024124353576960
 expressing optimism ,high,1627024124353576960
 life satisfaction ,medium,1627024124353576960
 expressing gratitude ,high,1627024124353576960
 feeling having a political voice ,high,1627024124353576960
 happiness ,medium,1632259398402973696
 belonging to society ,low,1625817944679931905
 quality of relationships ,low,1625826520727171072
 belief in god ,high,1629914528342323201
 expressing empathy ,high,1628778864414691329
 happiness ,high,1629527415230701570
 expressing gratitude ,high,1629527415230701570
 promoting good ,high,1629527415230701570
 expressing empathy ,high,1629527415230701570
 belief in god ,high,1625910663813156864
 quality of relationships ,medium,1627422696727359490
resilience ,high,1630240520407597063
 quality of relationships ,medium,1630240520407597063
 having hope ,high,1630240520407597063
 happiness ,low,1626559165777715202
 life satisfaction ,low,1626559165777715202
 fear of future ,high,1626559165777715202
 vitality ,low,1626559165777715202
 having energy ,low,1626559165777715202
 positive functioning ,low,1626559165777715202
 expressing optimism ,low,1626559165777715202
 peace with thoughts and feelings ,low,1626559165777715202
 belonging to society ,low,1626559165777715202
 balance in the various aspects of own life ,low,1626559165777715202
 perceiving discrimination ,high,1626559165777715202
 having hope ,medium,1626559165777715202
 expressing empathy ,high,1626559165777715202
 quality of relationships ,medium,1629314717440196611
 happiness ,medium,1628756561106534402
 expressing gratitude ,high,1628756561106534402
 feeling having a political voice ,high,1628756756854632448
 happiness ,high,1626817130531553286
 quality of relationships ,high,1626817130531553286
 feeling having a political voice ,high,1628752318047875074
 happiness ,low,1631482756361322499
 life satisfaction ,low,1631482756361322499
 fear of future ,high,1631482756361322499
 vitality ,low,1631482756361322499
 having energy ,low,1631482756361322499
 positive functioning ,low,1631482756361322499
 expressing optimism ,low,1631482756361322499
 peace with thoughts and feelings ,low,1631482756361322499
 belonging to society ,low,1631482756361322499
 perceiving discrimination ,high,1631482756361322499
religious criticism ,high,1631482756361322499
 feeling having a political voice ,high,1631482756361322499
 expressing optimism ,medium,1631926565117239297
 feeling having a political voice ,high,1631926565117239297
 happiness ,high,1628423832406044672
 expressing gratitude ,high,1628423832406044672
 happiness ,high,1632407862092914689
 vitality ,high,1632407862092914689
 positive functioning ,high,1632407862092914689
 expressing optimism ,high,1632407862092914689
 peace with thoughts and feelings ,high,1632407862092914689
 describing sexual activities ,high,1632407862092914689
resilience ,low,1631483414632120320
 balance in the various aspects of own life ,high,1631483414632120320
 happiness ,low,1633248267151585288
 life satisfaction ,low,1633248267151585288
 fear of future ,high,1633248267151585288
 vitality ,low,1633248267151585288
 having energy ,low,1633248267151585288
 positive functioning ,low,1633248267151585288
 expressing optimism ,low,1633248267151585288
 peace with thoughts and feelings ,low,1633248267151585288
 belief in god ,high,1633248267151585288
religious criticism ,high,1633248267151585288
 feeling religious comfort ,low,1633248267151585288
 happiness ,high,1633883089892933638
resilience ,medium,1633883089892933638
self-esteem ,high,1633883089892933638
 life satisfaction ,high,1633883089892933638
 positive functioning ,high,1633883089892933638
 expressing optimism ,high,1633883089892933638
 peace with thoughts and feelings ,high,1633883089892933638
 capability) ,high,1633883089892933638
 balance in the various aspects of own life ,medium,1633883089892933638
 belonging to society ,medium,1633883089892933638
 feeling having a political voice ,high,1633883089892933638
 having hope ,high,1633883089892933638
 promoting good ,high,1633883089892933638
 expressing empathy ,high,1633883089892933638
 happiness ,high,1609380762188656640
 expressing altruism ,high,1609380762188656640
 promoting good ,high,1609380762188656640
 expressing empathy ,high,1609380762188656640
 depression ,high,1627872909157957637
 loneliness ,high,1627872909157957637
 anxiety ,high,1626959743817519106
 ptsd (post-traumatic stress disorder) ,medium,1626959743817519106
 happiness ,low,1631146193156972545
resilience ,low,1631146193156972545
 life satisfaction ,low,1631146193156972545
 fear of future ,high,1631146193156972545
 vitality ,low,1631146193156972545
 having energy ,low,1631146193156972545
 positive functioning ,low,1631146193156972545
 expressing optimism ,low,1631146193156972545
 peace with thoughts and feelings ,low,1631146193156972545
 depression ,high,1631146193156972545
 anxiety ,high,1631146193156972545
suffering ,high,1631146193156972545
 balance in the various aspects of own life ,low,1631146193156972545
 perceiving discrimination ,high,1631146193156972545
 describing health limitations ,high,1631146193156972545
 happiness ,high,1628882276816678912
 promoting good ,high,1628882276816678912
 happiness ,low,1627156230367232001
 life satisfaction ,low,1627156230367232001
 fear of future ,high,1627156230367232001
 vitality ,low,1627156230367232001
 having energy ,low,1627156230367232001
