dimension,value,confidence,id
feeling religious comfort,high,0.9,1632974707741048832
life after death belief,high,0.9,1632974707741048832
self-esteem,high,0.8,1626056637566926848
self-esteem,medium,0.6,1625961207482941440
expressing gratitude,high,0.9,1625961207482941440
self-esteem,high,0.9,1628056969213771776
quality of relationships,high,0.9,1628056969213771776
having hope,high,0.9,1628056969213771776
expressing empathy,high,0.9,1628056969213771776
happiness,low,0.7,1631623434751860737
balance in the various aspects of own life,medium,0.6,1631623434751860737
financial/material worry,high,0.9,1631623434751860737
feeling pain,high,1,1629545401723265026
ptsd (post-traumatic stress disorder),high,0.7,1629545401723265026
happiness,high,0.9,1629169683030245376
expressing altruism,high,0.9,1629169683030245376
having hope,high,0.9,1629169683030245376
expressing empathy,high,0.9,1629169683030245376
feeling having a political voice,high,0.9,1630640472547835929
happiness,high,0.8,1633056693620703233
balance in the various aspects of own life,high,0.8,1633056693620703233
promoting good,high,0.9,1633056693620703233
purpose in life,high,0.9,1626357006931054594
mastery (ability or capability),high,0.9,1626357006931054594
promoting good,high,0.8,1626357006931054594
feeling pain,high,0.9,1632077818535321600
quality of relationships,medium,0.6,1632077818535321600
expressing empathy,high,0.9,1632077818535321600
suffering,high,1,1629378907488276480
expressing trust,high,0.9,1629378907488276480
financial/material worry,high,0.9,1629378907488276480
describing health limitations,high,0.9,1629378907488276480
resilience,medium,0.6,1626148717668536320
perceiving discrimination,medium,0.6,1626148717668536320
feeling having a political voice,high,0.9,1626148717668536320
happiness,high,0.9,1627239225266520065
expressing gratitude,high,0.9,1627239225266520065
expressing empathy,high,0.9,1627239225266520065
resilience,high,0.8,1631088427385999360
mastery (ability or capability),high,0.9,1631088427385999360
promoting good,high,0.9,1631088427385999360
happiness,high,0.8,1609395836475310080
expressing altruism,medium,0.6,1609395836475310080
having hope,high,0.9,1609395836475310080
expressing empathy,high,0.9,1609395836475310080
fear of future,high,0.9,1626363420189642753
expressing altruism,high,0.9,1626363420189642753
feeling having a political voice,high,0.9,1626363420189642753
ptsd (post-traumatic stress disorder),high,0.8,1626363420189642753
happiness,high,0.9,1629324992126103552
expressing altruism,high,0.8,1629324992126103552
promoting good,high,0.8,1629324992126103552
expressing empathy,high,0.9,1629324992126103552
happiness,low,0.7,1632428601487261697
perceiving discrimination,high,0.9,1632428601487261697
feeling having a political voice,medium,0.6,1632428601487261697
expressing optimism,high,0.9,1626945710070325252
expressing altruism,medium,0.6,1626945710070325252
feeling having a political voice,high,0.9,1626945710070325252
resilience,high,0.8,1632515501325705216
feeling having a political voice,high,0.9,1632515501325705216
perceiving discrimination,high,0.9,1632276612447367169
feeling having a political voice,high,0.9,1632276612447367169
expressing trust,low,0.7,1627344870565183489
financial/material worry,high,0.8,1627344870565183489
religious criticism,medium,0.6,1626489011580592130
happiness,high,0.9,1632163742690471938
expressing gratitude,high,0.9,1632163742690471938
expressing gratitude,high,0.9,1629839920339595267
feeling having a political voice,high,0.9,1629839920339595267
expressing empathy,high,0.9,1629839920339595267
depression,high,0.8,1631714058872459264
loneliness,high,0.8,1631714058872459264
expressing empathy,high,0.9,1631714058872459264
expressing trust,medium,0.6,1631920719545380864
happiness,high,0.9,1632940510334578688
expressing gratitude,high,0.9,1632940510334578688
expressing empathy,high,0.9,1632940510334578688
perceiving discrimination,high,0.7,1626309883468435458
happiness,high,0.9,1626379200688177152
expressing gratitude,high,0.9,1626379200688177152
having hope,high,0.8,1626379200688177152
self-esteem,high,0.7,1632339233393324034
quality of relationships,high,0.7,1632339233393324034
expressing empathy,high,0.9,1632339233393324034
perceiving discrimination,medium,0.6,1625876384143769600
feeling having a political voice,high,0.9,1625876384143769600
expressing optimism,high,0.85,1629641423170461696
expressing altruism,medium,0.6,1629641423170461696
feeling having a political voice,high,0.9,1629641423170461696
expressing empathy,high,0.9,1629641423170461696
expressing optimism,high,0.9,1631761901142040576
expressing altruism,high,0.9,1631761901142040576
having hope,medium,0.6,1631761901142040576
expressing empathy,high,0.9,1631761901142040576
quality of relationships,medium,0.6,1631710320610746368
fear of future,high,0.8,1625898371562057729
perceiving discrimination,high,0.9,1625898371562057729
feeling having a political voice,high,0.9,1625898371562057729
fear of future,high,0.8,1625847777644408833
expressing altruism,high,0.9,1625847777644408833
financial/material worry,high,0.9,1625847777644408833
describing health limitations,high,0.9,1625847777644408833
anxiety,medium,0.6,1631399991137665024
expressing altruism,high,0.9,1631399991137665024
charitable giving/helping,high,0.9,1631399991137665024
expressing optimism,medium,0.6,1628812832178335745
belonging to society,medium,0.6,1628812832178335745
promoting good,high,0.8,1628812832178335745
fear of future,high,0.8,1627658946382123008
perceiving discrimination,high,0.8,1627658946382123008
financial/material worry,high,0.9,1627658946382123008
happiness,high,0.9,1626642283985801218
expressing trust,high,0.9,1626642283985801218
anxiety,high,0.8,1630447018546962432
perceiving discrimination,high,0.8,1630447018546962432
expressing trust,low,0.7,1628877111804002304
expressing optimism,high,0.9,1626529324558852097
expressing altruism,high,0.9,1626529324558852097
having hope,high,0.9,1626529324558852097
expressing empathy,high,0.95,1626529324558852097
self-esteem,low,0.7,1634312215481204738
balance in the various aspects of own life,low,0.7,1634312215481204738
financial/material worry,low,0.1,1634312215481204738
happiness,high,0.9,1631214500157480965
expressing altruism,medium,0.6,1631214500157480965
promoting good,high,0.9,1631214500157480965
expressing empathy,high,0.9,1631214500157480965
happiness,medium,0.6,1631599106392039424
expressing altruism,low,0.6,1631599106392039424
having hope,high,0.9,1631599106392039424
expressing empathy,high,0.9,1631599106392039424
feeling having a political voice,high,0.8,1629839123258261504
fear of future,high,0.9,1632740036956377088
perceiving discrimination,high,0.9,1632740036956377088
feeling having a political voice,high,0.9,1632740036956377088
ptsd (post-traumatic stress disorder),high,0.9,1632740036956377088
depression,high,0.9,1631313702116003841
loneliness,high,0.8,1631313702116003841
ptsd (post-traumatic stress disorder),high,0.8,1631313702116003841
happiness,medium,0.6,1630007044349521921
depression,high,0.8,1632273926897139719
loneliness,high,0.8,1632273926897139719
having hope,low,0.9,1632273926897139719
ptsd (post-traumatic stress disorder),medium,0.5,1632273926897139719
purpose in life,medium,0.6,1628921574651838467
mastery (ability or capability),low,0.7,1628921574651838467
having energy,high,0.7,1627058013969481730
balance in the various aspects of own life,medium,0.6,1627058013969481730
describing drinking related health issues,high,0.8,1627058013969481730
fear of future,high,0.8,1629473195903336451
expressing optimism,medium,0.6,1627759110081970182
mastery (ability or capability),low,0.7,1627759110081970182
having hope,medium,0.6,1627759110081970182
expressing optimism,high,0.9,1631083244987744257
having hope,high,0.8,1631083244987744257
expressing optimism,high,0.9,1632866383770931201
belief in god,high,1,1632866383770931201
having hope,high,0.9,1632866383770931201
self-esteem,high,0.8,1632342928709304322
expressing trust,high,0.9,1632342928709304322
having hope,high,0.8,1632342928709304322
expressing empathy,high,0.9,1632342928709304322
quality of relationships,low,0.6,1631110565878722561
happiness,medium,0.6,1628748755171254273
happiness,high,0.8,1625737282387845122
expressing altruism,high,0.9,1625737282387845122
promoting good,high,0.9,1625737282387845122
expressing empathy,high,0.9,1625737282387845122
expressing trust,medium,0.6,1628330198805491713
feeling having a political voice,high,0.9,1628330198805491713
happiness,high,0.9,1629862939934195721
expressing gratitude,high,0.9,1629862939934195721
promoting good,high,0.8,1629862939934195721
expressing empathy,high,0.9,1629862939934195721
resilience,high,0.8,1631643694834110471
expressing delayed gratification,high,0.8,1631643694834110471
happiness,high,0.8,1633785590578655232
expressing altruism,medium,0.6,1633785590578655232
happiness,high,0.7,1628584774561370126
happiness,medium,0.6,1625897547205328896
expressing optimism,high,0.8,1625704252097064962
expressing altruism,high,0.8,1625704252097064962
charitable giving/helping,high,0.9,1625704252097064962
expressing empathy,high,0.9,1625704252097064962
happiness,high,0.8,1628558087715012608
expressing altruism,medium,0.6,1628558087715012608
promoting good,high,0.8,1628558087715012608
happiness,high,0.9,1629196498473713665
expressing gratitude,high,0.9,1629196498473713665
happiness,low,0.8,1626761342656090116
belief in god,high,1,1626761342656090116
life after death belief,high,0.9,1626761342656090116
anxiety,high,0.8,1625984095007154182
loneliness,medium,0.6,1625984095007154182
expressing optimism,high,0.9,1629496703102615557
mastery (ability or capability),high,0.85,1629496703102615557
happiness,medium,0.6,1628601516314726400
balance in the various aspects of own life,medium,0.6,1628601516314726400
happiness,high,0.8,1625892663407902720
belonging to society,high,0.8,1625892663407902720
happiness,high,0.9,1628427872179310598
quality of relationships,medium,0.6,1628427872179310598
promoting good,high,0.9,1628427872179310598
resilience,medium,0.6,1633786683341565952
expressing altruism,low,0.6,1633786683341565952
feeling having a political voice,high,0.9,1633786683341565952
expressing empathy,medium,0.6,1633786683341565952
purpose in life,high,0.9,1630827093939347457
expressing altruism,high,0.9,1630827093939347457
promoting good,high,0.9,1630827093939347457
quality of relationships,medium,0.7,1625799307033993217
expressing empathy,high,0.9,1625799307033993217
expressing gratitude,high,1,1626955746368798721
expressing empathy,high,0.9,1626955746368798721
happiness,high,0.8,1630065633479249920
mastery (ability or capability),medium,0.6,1630065633479249920
anxiety,high,0.8,1627764294958841857
perceiving discrimination,medium,0.6,1627764294958841857
anxiety,high,0.8,1630614156289228816
loneliness,medium,0.6,1630614156289228816
self-esteem,high,0.8,1632667455154692097
mastery (ability or capability),high,0.9,1632667455154692097
promoting good,high,0.9,1632667455154692097
expressing empathy,high,0.9,1632667455154692097
happiness,low,0.7,1632432023347294210
perceiving discrimination,high,0.8,1632432023347294210
mastery (ability or capability),high,0.9,1630565534851842049
mastery (ability or capability),medium,0.6,1629864801429069825
happiness,high,0.8,1627823242281877504
balance in the various aspects of own life,medium,0.6,1627823242281877504
having hope,medium,0.6,1627823242281877504
self-esteem,low,0.7,1629692482215718912
quality of relationships,low,0.8,1629692482215718912
having energy,low,0.7,1629965643217813512
balance in the various aspects of own life,low,0.6,1629965643217813512
expressing delayed gratification,medium,0.6,1629965643217813512
quality of relationships,medium,0.6,1632081191150006273
self-esteem,low,0.8,1626023668328300547
mastery (ability or capability),low,0.8,1626023668328300547
financial/material worry,low,0.1,1626023668328300547
expressing job satisfaction,medium,0.7,1626144723093028868
balance in the various aspects of own life,high,0.9,1626144723093028868
financial/material worry,low,0.7,1626144723093028868
quality of relationships,low,0.7,1627093362573717504
quality of relationships,medium,0.6,1629302599655587840
happiness,high,0.9,1627251541504626688
expressing gratitude,high,0.9,1627251541504626688
having hope,high,0.9,1627251541504626688
happiness,high,0.8,1632450066672758785
feeling having a political voice,medium,0.6,1630568614792159234
purpose in life,high,0.8,1609380037223907329
belief in god,high,1,1609380037223907329
promoting good,high,0.9,1609380037223907329
expressing empathy,high,0.9,1609380037223907329
feeling loved by god,high,0.9,1630061021854572544
promoting good,high,0.8,1630061021854572544
fear of future,high,0.8,1626719992967307265
expressing trust,low,0.9,1626719992967307265
feeling having a political voice,high,0.9,1626719992967307265
expressing optimism,high,0.9,1627726991523778564
expressing trust,high,0.9,1627726991523778564
having hope,high,0.9,1627726991523778564
expressing empathy,high,0.9,1627726991523778564
perceiving discrimination,high,0.8,1628617005304623104
resilience,high,0.7,1627024124353576960
perceiving discrimination,high,0.8,1627024124353576960
feeling having a political voice,high,0.9,1627024124353576960
expressing empathy,high,0.9,1628778864414691329
happiness,high,0.9,1629527415230701570
expressing altruism,high,0.9,1629527415230701570
promoting good,high,0.9,1629527415230701570
expressing empathy,high,0.9,1629527415230701570
resilience,high,0.7,1625910663813156864
belief in god,high,0.9,1625910663813156864
having hope,high,0.8,1625910663813156864
self-esteem,high,0.8,1627422696727359490
quality of relationships,high,0.9,1627422696727359490
self-esteem,medium,0.6,1630240520407597063
quality of relationships,medium,0.7,1630240520407597063
promoting good,medium,0.6,1630240520407597063
expressing empathy,high,0.9,1630240520407597063
suffering,high,0.9,1626559165777715202
expressing altruism,high,0.9,1626559165777715202
promoting good,high,0.9,1626559165777715202
expressing empathy,high,0.95,1626559165777715202
quality of relationships,medium,0.6,1629314717440196611
happiness,medium,0.6,1628756561106534402
expressing gratitude,high,0.9,1628756561106534402
financial/material worry,low,0.6,1628756561106534402
resilience,medium,0.6,1628756756854632448
expressing trust,low,0.9,1628756756854632448
feeling having a political voice,high,0.9,1628756756854632448
happiness,high,0.8,1626817130531553286
expressing altruism,medium,0.6,1626817130531553286
promoting good,high,0.9,1626817130531553286
expressing empathy,high,0.9,1626817130531553286
feeling having a political voice,high,0.9,1628752318047875074
depression,low,0.2,1631482756361322499
religious criticism,high,0.9,1631482756361322499
feeling having a political voice,high,0.9,1631482756361322499
expressing altruism,low,0.7,1631926565117239297
promoting good,medium,0.6,1631926565117239297
expressing empathy,high,0.9,1631926565117239297
happiness,high,0.9,1628423832406044672
expressing gratitude,high,0.9,1628423832406044672
anxiety,high,0.9,1631483414632120320
loneliness,high,0.8,1631483414632120320
having hope,low,0.9,1631483414632120320
ptsd (post-traumatic stress disorder),high,0.9,1631483414632120320
belief in god,low,0.9,1633248267151585288
life after death belief,low,0.7,1633248267151585288
having energy,high,0.9,1633883089892933638
expressing altruism,high,0.8,1633883089892933638
promoting good,high,0.9,1633883089892933638
happiness,high,0.9,1609380762188656640
expressing altruism,high,0.9,1609380762188656640
promoting good,high,0.9,1609380762188656640
expressing empathy,high,0.9,1609380762188656640
anxiety,high,0.8,1627872909157957637
mastery (ability or capability),low,0.7,1627872909157957637
describing health limitations,high,0.9,1627872909157957637
anxiety,high,0.9,1626959743817519106
loneliness,medium,0.6,1626959743817519106
ptsd (post-traumatic stress disorder),high,0.9,1626959743817519106
fear of future,high,0.8,1631146193156972545
expressing altruism,high,0.9,1631146193156972545
feeling having a political voice,high,0.9,1631146193156972545
describing health limitations,medium,0.6,1631146193156972545
happiness,high,0.9,1628882276816678912
expressing altruism,low,0.6,1628882276816678912
promoting good,high,0.8,1628882276816678912
happiness,high,0.9,1627700823546372099
expressing altruism,high,0.9,1627700823546372099
perceiving discrimination,medium,0.6,1628483456207577089
anxiety,high,0.9,1632576511352995840
loneliness,medium,0.6,1632576511352995840
ptsd (post-traumatic stress disorder),medium,0.6,1632576511352995840
happiness,high,0.8,1628017125179953163
expressing optimism,high,0.8,1627411304284651522
mastery (ability or capability),high,0.8,1627411304284651522
having hope,high,0.8,1627411304284651522
depression,medium,0.6,1626702220992339968
quality of relationships,low,0.8,1626702220992339968
having hope,medium,0.6,1630682494482644992
feeling having a political voice,high,0.8,1625962357221650432
anxiety,high,0.8,1628203633371234306
loneliness,high,0.7,1628203633371234306
fear of future,high,0.8,1632156531985907712
belonging to society,medium,0.6,1632156531985907712
feeling having a political voice,high,0.9,1632156531985907712
happiness,high,0.9,1633014906722168832
expressing altruism,low,0.2,1633014906722168832
promoting good,high,0.9,1633014906722168832
expressing empathy,high,0.9,1633014906722168832
resilience,high,0.9,1630138135786004481
expressing altruism,high,0.9,1630138135786004481
promoting good,high,0.9,1630138135786004481
expressing trust,high,0.85,1625824384383320065
feeling having a political voice,high,0.9,1625824384383320065
expressing empathy,high,0.9,1625824384383320065
happiness,medium,0.6,1627444249192017922
balance in the various aspects of own life,medium,0.6,1627444249192017922
having hope,high,0.9,1627444249192017922
happiness,medium,0.6,1628140281957650456
expressing gratitude,high,0.9,1628140281957650456
having hope,high,0.9,1628140281957650456
expressing empathy,high,0.9,1628140281957650456
happiness,low,0.7,1631066995775922178
loneliness,medium,0.6,1631066995775922178
feeling having a political voice,medium,0.6,1631066995775922178
describing drinking related health issues,medium,0.6,1631066995775922178
anxiety,high,0.7,1631384186882760725
loneliness,high,0.7,1631384186882760725
financial/material worry,high,0.9,1630276987007692801
feeling having a political voice,high,0.9,1630431397570543616
resilience,high,0.8,1626681277410693123
perceiving discrimination,high,0.9,1626681277410693123
feeling having a political voice,high,0.9,1626681277410693123
mastery (ability or capability),low,0.7,1629296271960989696
financial/material worry,medium,0.6,1629296271960989696
religious criticism,high,0.9,1632427145522708482
feeling having a political voice,high,0.9,1632427145522708482
depression,medium,0.6,1625965639239188482
expressing trust,low,0.9,1625965639239188482
feeling having a political voice,high,0.9,1625965639239188482
happiness,low,0.7,1628101174220947472
expressing trust,low,0.9,1628101174220947472
financial/material worry,low,0.2,1628101174220947472
purpose in life,high,0.9,1632163369942945793
mastery (ability or capability),high,0.9,1632163369942945793
financial/material worry,low,0.2,1632163369942945793
financial/material worry,high,0.8,1630471986236252160
self-esteem,low,0.7,1629984877419593729
perceiving discrimination,high,0.8,1629984877419593729
self-esteem,medium,0.6,1633181630381830144
mastery (ability or capability),medium,0.6,1633181630381830144
financial/material worry,medium,0.6,1633181630381830144
expressing empathy,high,0.9,1633181630381830144
happiness,high,0.9,1626507409635278848
expressing gratitude,high,0.9,1626507409635278848
happiness,high,0.9,1626507103169835008
expressing altruism,medium,0.6,1626507103169835008
promoting good,high,0.9,1626507103169835008
expressing empathy,high,0.9,1626507103169835008
happiness,high,0.9,1626064552067584000
expressing gratitude,high,0.9,1626064552067584000
promoting good,high,0.9,1626064552067584000
expressing empathy,high,0.9,1626064552067584000
having energy,low,0.8,1627408288844324865
expressing altruism,low,0.7,1627408288844324865
happiness,high,0.7,1628199108958715905
feeling religious comfort,high,0.9,1628199108958715905
life after death belief,medium,0.6,1628199108958715905
fear of future,high,0.9,1631386648931098624
expressing altruism,low,0.7,1631386648931098624
feeling having a political voice,high,0.9,1631386648931098624
depression,high,0.8,1628812536828301312
religious criticism,high,0.9,1628812536828301312
volunteering,high,0.9,1628812536828301312
quality of relationships,medium,0.6,1627433001800835072
expressing empathy,high,0.8,1627433001800835072
anxiety,high,0.9,1629425971408379906
quality of relationships,medium,0.7,1629425971408379906
expressing delayed gratification,low,0.7,1629425971408379906
purpose in life,high,0.8,1631556369387245568
belonging to society,high,0.9,1631556369387245568
promoting good,high,0.9,1631556369387245568
financial/material worry,high,0.9,1631708159663558656
perceiving discrimination,high,0.9,1627707548248702988
resilience,high,0.8,1632903857440190465
mastery (ability or capability),high,0.9,1632903857440190465
promoting good,high,0.9,1632903857440190465
expressing empathy,medium,0.6,1632903857440190465
self-esteem,low,0.7,1631696485095211013
loneliness,high,0.8,1631696485095211013
financial/material worry,low,0.1,1631696485095211013
belonging to society,high,0.8,1629057992766152704
happiness,low,0.6,1628422604406259712
describing drinking related health issues,medium,0.6,1628422604406259712
resilience,high,0.8,1626450305138188290
balance in the various aspects of own life,high,0.9,1626450305138188290
financial/material worry,high,0.9,1626450305138188290
ptsd (post-traumatic stress disorder),low,0.2,1626450305138188290
happiness,high,0.9,1632902973431971841
expressing gratitude,high,0.9,1632902973431971841
expressing empathy,high,0.9,1632902973431971841
happiness,high,1,1628523745022251009
mastery (ability or capability),high,0.8,1628523745022251009
promoting good,high,0.9,1628523745022251009
feeling having a political voice,high,0.9,1631655571710521347
happiness,high,0.9,1628795033418883074
expressing altruism,high,0.9,1628795033418883074
promoting good,high,0.9,1628795033418883074
expressing empathy,high,0.9,1628795033418883074
happiness,high,0.8,1628382563046653954
mastery (ability or capability),high,0.8,1628382563046653954
financial/material worry,low,0.1,1628382563046653954
happiness,high,0.9,1626356786700722179
expressing altruism,medium,0.6,1626356786700722179
having hope,high,0.9,1626356786700722179
expressing altruism,high,0.8,1628718689699725313
financial/material worry,low,0.2,1628718689699725313
happiness,high,0.8,1631702622653808644
expressing trust,high,0.8,1631702622653808644
purpose in life,high,0.9,1628656630425321472
religious criticism,high,0.9,1628656630425321472
financial/material worry,low,0.2,1628656630425321472
happiness,high,0.9,1629938582784733191
expressing altruism,high,0.9,1629938582784733191
promoting good,high,0.9,1629938582784733191
expressing empathy,high,0.9,1629938582784733191
mastery (ability or capability),medium,0.6,1628811401799032838
expressing empathy,high,0.9,1628811401799032838
self-esteem,low,0.7,1632666326467768322
balance in the various aspects of own life,low,0.7,1632666326467768322
financial/material worry,high,0.8,1632666326467768322
perceiving discrimination,high,0.9,1629511130841337857
feeling having a political voice,high,0.9,1629511130841337857
happiness,high,0.9,1632796731875160065
expressing optimism,high,0.9,1634247284379492355
expressing altruism,high,0.9,1634247284379492355
feeling having a political voice,high,0.9,1634247284379492355
expressing empathy,high,0.9,1634247284379492355
suffering,high,0.9,1629703596433391617
perceiving discrimination,high,0.9,1629703596433391617
feeling having a political voice,high,0.9,1629703596433391617
having hope,high,0.9,1626932905967484928
happiness,high,0.9,1631331796234141698
expressing gratitude,high,0.9,1631331796234141698
life after death belief,high,0.9,1631331796234141698
resilience,high,0.7,1631220324149624834
quality of relationships,low,0.7,1631220324149624834
expressing delayed gratification,high,0.9,1631220324149624834
happiness,high,0.8,1629495770951950336
expressing gratitude,high,0.8,1629495770951950336
happiness,high,0.9,1632188747948216321
expressing altruism,high,0.9,1632188747948216321
anxiety,high,0.9,1631773909539233794
mastery (ability or capability),low,0.9,1631773909539233794
financial/material worry,high,0.9,1631773909539233794
happiness,high,0.9,1626258046639898627
expressing gratitude,high,0.9,1626258046639898627
anxiety,high,0.8,1632461251908362242
quality of relationships,low,0.7,1632461251908362242
feeling having a political voice,high,0.9,1632461251908362242
expressing empathy,low,0.2,1632461251908362242
resilience,high,0.8,1631109444120588288
expressing trust,medium,0.6,1631109444120588288
feeling having a political voice,high,0.9,1631109444120588288
ptsd (post-traumatic stress disorder),high,0.9,1631109444120588288
purpose in life,high,0.9,1630520810413645825
belief in god,high,1,1630520810413645825
life after death belief,high,0.9,1630520810413645825
happiness,high,0.9,1626757469799161858
quality of relationships,high,0.9,1626757469799161858
having hope,high,0.9,1626757469799161858
expressing empathy,high,0.9,1626757469799161858
quality of relationships,low,0.7,1626600191016189952
anxiety,high,0.8,1625652359903817732
perceiving discrimination,medium,0.6,1625652359903817732
self-esteem,high,0.8,1631022451051069442
expressing trust,medium,0.6,1631022451051069442
expressing empathy,high,0.9,1631022451051069442
resilience,low,0.7,1632088076511002624
expressing trust,low,0.7,1632088076511002624
feeling having a political voice,medium,0.6,1632088076511002624
happiness,high,0.9,1630015850660130817
expressing altruism,high,0.9,1630015850660130817
charitable giving/helping,high,0.9,1630015850660130817
expressing empathy,high,0.9,1630015850660130817
happiness,high,0.9,1626425583650451456
expressing gratitude,high,0.9,1626425583650451456
promoting good,high,0.9,1626425583650451456
expressing empathy,high,0.9,1626425583650451456
resilience,high,0.9,1631444327183581187
expressing altruism,high,0.9,1631444327183581187
life after death belief,high,0.9,1631444327183581187
expressing empathy,high,0.9,1631444327183581187
anxiety,high,0.9,1632908424764702723
balance in the various aspects of own life,low,0.7,1632908424764702723
financial/material worry,high,0.8,1632908424764702723
ptsd (post-traumatic stress disorder),low,0.2,1632908424764702723
expressing optimism,high,0.9,1630486758134628352
expressing altruism,high,0.9,1630486758134628352
charitable giving/helping,high,0.9,1630486758134628352
expressing empathy,high,0.9,1630486758134628352
depression,high,0.8,1628816234232922113
quality of relationships,high,0.7,1628816234232922113
happiness,medium,0.6,1629902272162398208
mastery (ability or capability),medium,0.6,1629902272162398208
having hope,medium,0.6,1629902272162398208
religious criticism,low,0.2,1630904784633880578
feeling having a political voice,high,0.9,1630904784633880578
feeling pain,high,0.9,1630515986972528640
balance in the various aspects of own life,medium,0.7,1630515986972528640
financial/material worry,low,0.1,1630515986972528640
describing health limitations,high,0.9,1630515986972528640
feeling having a political voice,high,0.9,1630298582631809025
expressing trust,medium,0.6,1631469151209553921
fear of future,high,0.8,1631276494528958466
belonging to society,high,0.9,1631276494528958466
feeling having a political voice,high,0.9,1631276494528958466
ptsd (post-traumatic stress disorder),high,0.7,1631276494528958466
self-esteem,high,0.9,1626144822347108353
mastery (ability or capability),high,0.9,1626144822347108353
promoting good,high,0.9,1626144822347108353
expressing optimism,medium,0.6,1625660195136499712
expressing altruism,medium,0.6,1625660195136499712
promoting good,high,0.9,1625660195136499712
expressing empathy,high,0.9,1625660195136499712
happiness,high,0.9,1625817461059641346
expressing gratitude,high,0.9,1625817461059641346
promoting good,high,0.8,1625817461059641346
expressing empathy,high,0.9,1625817461059641346
perceiving discrimination,medium,0.6,1629166229977006081
feeling having a political voice,high,0.9,1629166229977006081
resilience,high,0.8,1627283450242781184
expressing altruism,high,0.9,1627283450242781184
promoting good,high,0.9,1627283450242781184
expressing empathy,high,0.9,1627283450242781184
belief in god,high,0.9,1627053824459554823
life after death belief,high,0.9,1627053824459554823
quality of relationships,high,0.7,1626248769233911808
happiness,high,0.9,1631118109376430080
quality of relationships,high,0.9,1631118109376430080
